icd_class,block_code,block_description,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,iqr,small_n,class_order
I,A00-A09,Кишечные инфекции,1,67.0,67.0,67.0,67.0,67.0,67.0,0.0,True,1
I,A15-A19,Туберкулез,271,48.0,41.0,59.0,50.03321033210332,22.0,91.0,18.0,False,1
I,A20-A28,Некоторые бактериальные зоонозы,1,89.0,89.0,89.0,89.0,89.0,89.0,0.0,True,1
I,A30-A49,Другие бактериальные болезни,18,67.0,42.25,71.75,57.22222222222222,1.0,84.0,29.5,False,1
I,A80-A89,Вирусные инфекции центральной нервной системы,1,41.0,41.0,41.0,41.0,41.0,41.0,0.0,True,1
I,B15-B19,Вирусный гепатит,1,47.0,47.0,47.0,47.0,47.0,47.0,0.0,True,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",78,42.0,37.0,49.75,43.53846153846154,26.0,66.0,12.75,False,1
I,B25-B34,Другие вирусные болезни,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True,1
I,B35-B49,Микозы,1,51.0,51.0,51.0,51.0,51.0,51.0,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,1,85.0,85.0,85.0,85.0,85.0,85.0,0.0,True,1
II,C00-C14,"Губы, полости рта и глотки",163,62.0,55.0,71.0,62.07361963190184,36.0,86.0,16.0,False,2
II,C15-C26,Органов пищеварения,1709,69.0,61.0,75.0,67.55763604447046,9.0,94.0,14.0,False,2
II,C30-C39,Органов дыхания и грудной клетки,1123,67.0,61.0,73.0,66.48441674087266,36.0,97.0,12.0,False,2
II,C40-C41,Костей и суставных хрящей,15,66.0,53.0,74.5,59.93333333333333,17.0,78.0,21.5,False,2
II,C43-C44,Кожи,82,72.0,59.0,82.0,68.6829268292683,29.0,94.0,23.0,False,2
II,C45-C49,Мезотелиальной и мягких тканей,85,64.0,54.0,75.0,63.96470588235294,3.0,93.0,21.0,False,2
II,C50-C50,Молочной железы,297,68.0,58.0,75.0,66.44444444444444,32.0,95.0,17.0,False,2
II,C51-C58,Женских половых органов,336,63.0,50.75,72.0,61.669642857142854,24.0,91.0,21.25,False,2
II,C60-C63,Мужских половых органов,228,71.0,66.0,76.0,71.33771929824562,36.0,95.0,10.0,False,2
II,C64-C68,Мочевых путей,319,70.0,63.0,75.0,68.59247648902821,41.0,95.0,12.0,False,2
II,C69-C72,"Глаза, головного мозга и других отделов центральной нервной системы",158,62.5,48.0,70.75,59.5126582278481,8.0,90.0,22.75,False,2
II,C73-C75,Щитовидной и других эндокринных желез,26,72.5,65.25,81.0,73.61538461538461,57.0,94.0,15.75,False,2
II,C76-C80,"Злокачественные новообразования других, неточно обозначенных и вторичных локализаций",47,70.0,56.0,76.0,67.17021276595744,38.0,93.0,20.0,False,2
II,C81-C96,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",247,68.0,60.0,74.5,65.54655870445345,3.0,87.0,14.5,False,2
II,C97-C97,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",23,71.0,63.0,74.0,69.34782608695652,51.0,87.0,11.0,False,2
II,D10-D36,Доброкачественные новообразования,49,68.0,56.0,74.0,65.12244897959184,33.0,88.0,18.0,False,2
II,D37-D48,Новообразования неопределенного или неизвестного характера,26,73.5,68.0,78.0,70.88461538461539,23.0,85.0,10.0,False,2
III,D50-D53,"Анемии, связанные с питанием",7,82.0,71.0,88.0,73.71428571428571,27.0,89.0,17.0,False,3
