icd_class,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,iqr,small_n,class_order,class_short
I,376,47.0,39.0,58.0,48.84308510638298,0.0,91.0,19.0,False,1,Инфекционные болезни
II,4933,68.0,60.0,74.0,66.51084532738699,3.0,97.0,14.0,False,2,Новообразования
III,23,69.0,48.0,81.5,61.34782608695652,1.0,89.0,33.5,False,3,Кровь и иммунитет
IV,1413,72.0,65.0,78.0,70.8131634819533,0.0,100.0,13.0,False,4,Эндокринные и обмен
V,37,75.0,48.0,83.0,68.56756756756756,24.0,95.0,35.0,False,5,Психические расстройства
VI,1121,79.0,65.0,87.0,73.21052631578948,0.0,101.0,22.0,False,6,Нервная система
VIII,4,73.5,64.5,81.5,72.5,54.0,89.0,17.0,True,8,Ухо
IX,13794,73.0,63.0,82.0,71.12512686675366,0.0,103.0,19.0,False,9,Кровообращение
X,1055,66.0,53.0,75.5,63.85687203791469,0.0,99.0,22.5,False,10,Дыхание
XI,2291,62.0,50.0,73.0,61.60890440855522,16.0,102.0,23.0,False,11,Пищеварение
XII,40,66.5,58.5,75.25,65.0,35.0,88.0,16.75,False,12,Кожа
XIII,755,85.0,76.0,89.0,81.95496688741721,16.0,104.0,13.0,False,13,Костно-мышечные
XIV,271,71.0,60.5,79.0,68.2619926199262,22.0,94.0,18.5,False,14,Мочеполовая система
XV,4,31.0,28.0,33.5,30.5,19.0,41.0,5.5,True,15,Беременность и роды
XVI,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16,Перинатальные состояния
XVII,67,41.0,6.5,61.5,36.985074626865675,0.0,82.0,55.0,False,17,Врожденные аномалии
XVIII,608,58.0,46.0,68.0,56.22532894736842,0.0,108.0,22.0,False,18,Симптомы и неточные причины
XIX,45,38.0,31.0,44.0,36.71111111111111,19.0,60.0,13.0,False,19,Травмы и отравления
XX,5948,43.0,34.0,53.0,44.06439139206456,0.0,97.0,19.0,False,20,Внешние причины
XXII,29,74.0,68.0,82.0,73.41379310344827,40.0,92.0,14.0,False,22,Специальные коды
