icd_class,block_code,block_description,icd3,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,description,iqr,small_n,class_order
I,A00-A09,Кишечные инфекции,A00,1,67.0,67.0,67.0,67.0,67.0,67.0,"Холера, вызванная холерным вибрионом 01, биовар cholerae",0.0,True,1
I,A15-A19,Туберкулез,A15,231,49.0,41.0,59.0,50.082251082251084,22.0,91.0,"Туберкулез легких, подтвержденный гистологически",18.0,False,1
I,A15-A19,Туберкулез,A16,12,44.0,41.75,50.0,47.666666666666664,37.0,65.0,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,8.25,False,1
I,A15-A19,Туберкулез,A18,2,56.0,49.5,62.5,56.0,43.0,69.0,"Туберкулез кишечника, брюшины и брыжеечных лимфатических узлов",13.0,True,1
I,A15-A19,Туберкулез,A19,26,47.0,40.75,55.5,50.23076923076923,33.0,85.0,Острый милиарный туберкулез множественной локализации,14.75,False,1
I,A20-A28,Некоторые бактериальные зоонозы,A23,1,89.0,89.0,89.0,89.0,89.0,89.0,Другие формы бруцеллеза,0.0,True,1
I,A30-A49,Другие бактериальные болезни,A39,2,21.0,11.0,31.0,21.0,1.0,41.0,Острая менингококкемия,20.0,True,1
I,A30-A49,Другие бактериальные болезни,A41,13,69.0,43.0,72.0,60.84615384615385,34.0,84.0,Сепсис неуточненный,29.0,False,1
I,A30-A49,Другие бактериальные болезни,A46,2,72.5,71.75,73.25,72.5,71.0,74.0,Рожа,1.5,True,1
I,A30-A49,Другие бактериальные болезни,A48,1,52.0,52.0,52.0,52.0,52.0,52.0,Газовая гангрена,0.0,True,1
I,A80-A89,Вирусные инфекции центральной нервной системы,A84,1,41.0,41.0,41.0,41.0,41.0,41.0,Дальневосточный клещевой энцефалит [русский весенне-летний энцефалит],0.0,True,1
I,B15-B19,Вирусный гепатит,B18,1,47.0,47.0,47.0,47.0,47.0,47.0,Хронический вирусный гепатит B без дельта-агента,0.0,True,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B20,46,42.5,37.0,48.75,42.67391304347826,26.0,61.0,"Болезнь, вызванная ВИЧ, с проявлениями микобактериальной инфекции",11.75,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B21,9,42.0,37.0,53.0,46.22222222222222,36.0,66.0,"Болезнь, вызванная ВИЧ, с проявлениями других неходжкинских лимфом",16.0,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B22,20,44.0,38.75,51.0,45.75,32.0,65.0,"Болезнь, вызванная ВИЧ, с проявлениями множественных болезней, классифицированных в других рубриках",12.25,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B23,3,37.0,32.0,37.5,34.0,27.0,38.0,"Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии",5.5,True,1
I,B25-B34,Другие вирусные болезни,B27,1,0.0,0.0,0.0,0.0,0.0,0.0,Другой инфекционный мононуклеоз,0.0,True,1
I,B25-B34,Другие вирусные болезни,B34,2,0.0,0.0,0.0,0.0,0.0,0.0,Вирусная инфекция неуточненная,0.0,True,1
I,B35-B49,Микозы,B44,1,51.0,51.0,51.0,51.0,51.0,51.0,Другие виды аспергиллеза,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,B91,1,85.0,85.0,85.0,85.0,85.0,85.0,Последствия полиомиелита,0.0,True,1
II,C00-C14,"Губы, полости рта и глотки",C00,9,66.0,62.0,71.0,65.55555555555556,54.0,76.0,Злокачественное новообразование наружной поверхности нижней губы,9.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C01,11,61.0,57.0,73.0,64.45454545454545,53.0,83.0,Злокачественные новообразования основания языка,16.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C02,40,64.0,56.0,72.25,63.15,36.0,86.0,Злокачественное новообразование боковой поверхности языка,16.25,False,2
II,C00-C14,"Губы, полости рта и глотки",C03,10,66.5,57.75,73.5,64.0,42.0,74.0,Злокачественное новообразование десны нижней челюсти,15.75,False,2
II,C00-C14,"Губы, полости рта и глотки",C04,23,60.0,47.0,67.0,58.78260869565217,41.0,79.0,Злокачественное новообразование боковой части дна полости рта,20.0,False,2
