year,icd_class,deaths
2023,I,138
2023,II,1591
2023,III,5
2023,IV,416
2023,IX,4798
2023,V,9
2023,VI,467
2023,VIII,2
2023,X,405
2023,XI,714
2023,XII,8
2023,XIII,135
2023,XIV,84
2023,XIX,12
2023,XV,3
2023,XVI,5
2023,XVII,23
2023,XVIII,202
2023,XX,1550
2023,XXII,27
2024,I,125
2024,II,1652
2024,III,6
2024,IV,491
2024,IX,4527
2024,V,24
2024,VI,374
2024,X,338
2024,XI,802
2024,XII,15
2024,XIII,267
2024,XIV,93
2024,XIX,9
2024,XV,1
2024,XVI,8
2024,XVII,21
2024,XVIII,199
2024,XX,1899
2024,XXII,2
2025,I,113
2025,II,1690
2025,III,12
2025,IV,506
2025,IX,4470
2025,V,4
2025,VI,280
2025,VIII,2
2025,X,312
2025,XI,775
2025,XII,17
2025,XIII,353
2025,XIV,94
2025,XIX,24
2025,XVI,6
2025,XVII,23
2025,XVIII,209
2025,XX,2500
