year,municipality,icd_class,deaths
2023,Архаринский,II,27
2023,Архаринский,IV,8
2023,Архаринский,IX,99
2023,Архаринский,VI,2
2023,Архаринский,X,7
2023,Архаринский,XI,13
2023,Архаринский,XIII,2
2023,Архаринский,XIX,1
2023,Архаринский,XVIII,2
2023,Архаринский,XX,41
2023,Архаринский,XXII,1
2023,Белогорск,I,15
2023,Белогорск,II,105
2023,Белогорск,IV,34
2023,Белогорск,IX,339
2023,Белогорск,V,1
2023,Белогорск,VI,30
2023,Белогорск,X,44
2023,Белогорск,XI,66
2023,Белогорск,XIII,3
2023,Белогорск,XIV,16
2023,Белогорск,XIX,1
2023,Белогорск,XVII,2
2023,Белогорск,XVIII,15
2023,Белогорск,XX,115
2023,Белогорский,II,44
2023,Белогорский,IV,5
2023,Белогорский,IX,73
2023,Белогорский,VI,2
2023,Белогорский,X,9
2023,Белогорский,XI,4
2023,Белогорский,XIX,1
2023,Белогорский,XVIII,4
2023,Белогорский,XX,50
2023,Благовещенск,I,61
2023,Благовещенск,II,636
2023,Благовещенск,III,3
2023,Благовещенск,IV,170
2023,Благовещенск,IX,1361
2023,Благовещенск,V,4
2023,Благовещенск,VI,161
2023,Благовещенск,X,138
2023,Благовещенск,XI,250
2023,Благовещенск,XII,5
2023,Благовещенск,XIII,21
2023,Благовещенск,XIV,38
2023,Благовещенск,XIX,1
2023,Благовещенск,XV,2
2023,Благовещенск,XVI,5
2023,Благовещенск,XVII,9
2023,Благовещенск,XVIII,48
2023,Благовещенск,XX,314
2023,Благовещенск,XXII,25
2023,Благовещенский,I,1
2023,Благовещенский,II,60
2023,Благовещенский,IV,2
2023,Благовещенский,IX,77
2023,Благовещенский,VI,6
2023,Благовещенский,X,11
2023,Благовещенский,XI,5
2023,Благовещенский,XIV,1
2023,Благовещенский,XV,1
2023,Благовещенский,XVIII,3
2023,Благовещенский,XX,44
2023,Бурейский,I,4
2023,Бурейский,II,37
2023,Бурейский,IV,5
2023,Бурейский,IX,120
2023,Бурейский,VI,3
2023,Бурейский,X,7
2023,Бурейский,XI,32
2023,Бурейский,XIII,32
2023,Бурейский,XIV,5
2023,Бурейский,XIX,1
2023,Бурейский,XVII,1
2023,Бурейский,XVIII,11
2023,Бурейский,XX,52
2023,Завитинский,I,1
2023,Завитинский,II,23
2023,Завитинский,III,1
2023,Завитинский,IV,9
2023,Завитинский,IX,74
2023,Завитинский,VI,8
2023,Завитинский,X,9
2023,Завитинский,XI,14
2023,Завитинский,XII,1
2023,Завитинский,XIII,1
2023,Завитинский,XIV,1
2023,Завитинский,XVIII,4
2023,Завитинский,XX,29
2023,Зейский,I,1
2023,Зейский,II,14
2023,Зейский,IV,3
2023,Зейский,IX,77
2023,Зейский,VI,10
2023,Зейский,X,4
2023,Зейский,XI,5
2023,Зейский,XIII,3
2023,Зейский,XVIII,1
2023,Зейский,XX,24
2023,Зея,I,2
2023,Зея,II,38
2023,Зея,IV,35
2023,Зея,IX,193
2023,Зея,VI,31
2023,Зея,X,15
2023,Зея,XI,21
2023,Зея,XIII,13
2023,Зея,XVII,1
2023,Зея,XVIII,6
2023,Зея,XX,33
2023,Ивановский,I,7
2023,Ивановский,II,47
2023,Ивановский,IV,12
2023,Ивановский,IX,117
2023,Ивановский,VI,13
2023,Ивановский,X,15
2023,Ивановский,XI,18
2023,Ивановский,XIII,28
2023,Ивановский,XIV,1
2023,Ивановский,XIX,1
2023,Ивановский,XVIII,7
2023,Ивановский,XX,47
2023,Ивановский,XXII,1
2023,Константиновский,II,25
2023,Константиновский,IV,2
2023,Константиновский,IX,62
2023,Константиновский,VI,3
2023,Константиновский,X,7
2023,Константиновский,XI,5
2023,Константиновский,XIV,1
2023,Константиновский,XIX,1
2023,Константиновский,XVII,1
2023,Константиновский,XVIII,2
2023,Константиновский,XX,26
2023,Магдагачинский,II,34
2023,Магдагачинский,IV,2
2023,Магдагачинский,IX,147
2023,Магдагачинский,VI,6
2023,Магдагачинский,X,17
2023,Магдагачинский,XI,7
2023,Магдагачинский,XIII,8
2023,Магдагачинский,XIV,1
2023,Магдагачинский,XVIII,9
2023,Магдагачинский,XX,51
2023,Мазановский,I,1
2023,Мазановский,II,23
2023,Мазановский,IX,73
2023,Мазановский,V,2
2023,Мазановский,VI,1
2023,Мазановский,X,4
2023,Мазановский,XI,9
2023,Мазановский,XVIII,4
2023,Мазановский,XX,28
2023,Михайловский,I,1
2023,Михайловский,II,16
2023,Михайловский,IV,12
2023,Михайловский,IX,62
2023,Михайловский,V,1
2023,Михайловский,VI,2
2023,Михайловский,X,5
2023,Михайловский,XI,9
2023,Михайловский,XIII,3
2023,Михайловский,XIV,1
2023,Михайловский,XVII,1
2023,Михайловский,XVIII,2
2023,Михайловский,XX,30
2023,Октябрьский,I,4
2023,Октябрьский,II,36
2023,Октябрьский,IV,8
2023,Октябрьский,IX,70
2023,Октябрьский,X,19
2023,Октябрьский,XI,8
2023,Октябрьский,XIV,3
2023,Октябрьский,XIX,2
2023,Октябрьский,XVIII,4
2023,Октябрьский,XX,54
2023,Посёлок Углегорск,II,5
