mo_key,mo_id,mo_name,icd_class,deaths,person_years,asmr_per100k,crude_rate_per100k,icd_class_short,stability_flag,regional_deaths,regional_person_years,regional_asmr_per100k,asmr_ratio_vs_region,crude_rank_within_class,asmr_rank_within_class,rank_shift_to_higher_risk
александровск-сахалинский,368,Александровск-Сахалинский,I,13,30663.0,38.40034231396234,42.39637347943776,Инфекционные болезни,low_count,203,1446576.0,14.03313756069505,2.736404610007999,1.0,1.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,II,109,30663.0,280.6200968618554,355.4772853275935,Новообразования,ok,3384,1446576.0,233.93171184922187,1.1995812566135797,5.0,8.0,-3.0
александровск-сахалинский,368,Александровск-Сахалинский,III,1,30663.0,2.419204932878495,3.261259498418289,Кровь и иммунитет,very_low_count,20,1446576.0,1.382575129132517,1.749781897491821,5.0,6.0,-1.0
александровск-сахалинский,368,Александровск-Сахалинский,IV,58,30663.0,142.42172294614682,189.15305090826075,Эндокринные и обмен,ok,866,1446576.0,59.86550309143799,2.379028248181816,1.0,2.0,-1.0
александровск-сахалинский,368,Александровск-Сахалинский,IX,171,30663.0,430.92030878534797,557.6753742295274,Кровообращение,ok,6028,1446576.0,416.70814392054064,1.0341058005996575,8.0,13.0,-5.0
александровск-сахалинский,368,Александровск-Сахалинский,V,6,30663.0,13.819642932679404,19.567556990509733,Психические расстройства,very_low_count,95,1446576.0,6.567231863379456,2.1043330310509094,4.0,6.0,-2.0
александровск-сахалинский,368,Александровск-Сахалинский,VI,40,30663.0,98.85212926383662,130.45037993673157,Нервная система,ok,1199,1446576.0,82.8853789914944,1.192636511609372,5.0,10.0,-5.0
александровск-сахалинский,368,Александровск-Сахалинский,VIII,0,30663.0,0.0,0.0,Ухо,very_low_count,4,1446576.0,0.27651502582650345,0.0,5.0,5.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,X,65,30663.0,170.39440353152855,211.9818673971888,Дыхание,ok,1219,1446576.0,84.26795412062691,2.0220545913291588,1.0,1.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,XI,54,30663.0,149.9232274321084,176.10801291458762,Пищеварение,ok,2060,1446576.0,142.40523830064924,1.0527929254651927,8.0,12.0,-4.0
александровск-сахалинский,368,Александровск-Сахалинский,XII,1,30663.0,2.2574080210872194,3.261259498418289,Кожа,very_low_count,48,1446576.0,3.318180309918041,0.6803150553150553,7.0,8.0,-1.0
александровск-сахалинский,368,Александровск-Сахалинский,XIII,4,30663.0,9.72109004393866,13.045037993673157,Костно-мышечные,very_low_count,76,1446576.0,5.2537854907035655,1.8503020462369222,1.0,2.0,-1.0
александровск-сахалинский,368,Александровск-Сахалинский,XIV,70,30663.0,166.0221909458255,228.28816488928024,Мочеполовая система,ok,838,1446576.0,57.929897910652464,2.8659154760101253,1.0,1.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,XIX,103,30663.0,356.8621610879917,335.9097283370838,Травмы и отравления,ok,2748,1446576.0,189.96582274280786,1.8785598163683501,1.0,1.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,XV,0,30663.0,0.0,0.0,Беременность и роды,very_low_count,3,1446576.0,0.20738626936987756,0.0,4.0,4.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,XVI,0,30663.0,0.0,0.0,Перинатальные состояния,very_low_count,33,1446576.0,2.281248963068653,0.0,11.0,11.0,0.0
александровск-сахалинский,368,Александровск-Сахалинский,XVII,2,30663.0,6.547384948832546,6.522518996836578,Врожденные аномалии,very_low_count,36,1446576.0,2.4886352324385306,2.630913869372886,2.0,2.0,0.0
