icd_class,icd_class_short,icd3,age_band,sex,deaths,age_band_label,age_band_order
II,Новообразования,C00,40_44,муж,1,40-44,9
II,Новообразования,C00,55_59,муж,2,55-59,12
II,Новообразования,C00,60_64,муж,1,60-64,13
II,Новообразования,C00,65_69,жен,1,65-69,14
II,Новообразования,C00,65_69,муж,3,65-69,14
II,Новообразования,C00,70_74,муж,1,70-74,15
II,Новообразования,C00,80_plus,муж,1,80+,17
II,Новообразования,C01,40_44,муж,1,40-44,9
II,Новообразования,C01,50_54,муж,1,50-54,11
II,Новообразования,C01,55_59,жен,1,55-59,12
II,Новообразования,C01,55_59,муж,3,55-59,12
II,Новообразования,C01,60_64,муж,4,60-64,13
II,Новообразования,C01,65_69,жен,1,65-69,14
II,Новообразования,C01,65_69,муж,6,65-69,14
II,Новообразования,C01,70_74,жен,1,70-74,15
II,Новообразования,C01,70_74,муж,1,70-74,15
II,Новообразования,C01,75_79,жен,1,75-79,16
II,Новообразования,C01,75_79,муж,2,75-79,16
II,Новообразования,C02,40_44,жен,4,40-44,9
II,Новообразования,C02,40_44,муж,4,40-44,9
II,Новообразования,C02,45_49,муж,4,45-49,10
II,Новообразования,C02,50_54,жен,1,50-54,11
II,Новообразования,C02,50_54,муж,3,50-54,11
II,Новообразования,C02,55_59,жен,3,55-59,12
II,Новообразования,C02,55_59,муж,8,55-59,12
II,Новообразования,C02,60_64,жен,4,60-64,13
II,Новообразования,C02,60_64,муж,5,60-64,13
II,Новообразования,C02,65_69,жен,3,65-69,14
II,Новообразования,C02,65_69,муж,12,65-69,14
II,Новообразования,C02,70_74,жен,2,70-74,15
II,Новообразования,C02,70_74,муж,2,70-74,15
II,Новообразования,C02,75_79,жен,3,75-79,16
II,Новообразования,C02,75_79,муж,2,75-79,16
II,Новообразования,C02,80_plus,жен,2,80+,17
II,Новообразования,C03,45_49,муж,1,45-49,10
II,Новообразования,C03,50_54,муж,1,50-54,11
II,Новообразования,C03,55_59,жен,1,55-59,12
II,Новообразования,C03,55_59,муж,1,55-59,12
II,Новообразования,C03,60_64,жен,2,60-64,13
II,Новообразования,C03,60_64,муж,4,60-64,13
II,Новообразования,C03,65_69,жен,3,65-69,14
II,Новообразования,C03,75_79,муж,1,75-79,16
II,Новообразования,C03,80_plus,жен,1,80+,17
II,Новообразования,C03,80_plus,муж,1,80+,17
II,Новообразования,C04,40_44,жен,1,40-44,9
II,Новообразования,C04,40_44,муж,1,40-44,9
II,Новообразования,C04,45_49,муж,6,45-49,10
II,Новообразования,C04,50_54,жен,3,50-54,11
II,Новообразования,C04,50_54,муж,8,50-54,11
II,Новообразования,C04,55_59,жен,1,55-59,12
II,Новообразования,C04,55_59,муж,15,55-59,12
II,Новообразования,C04,60_64,жен,4,60-64,13
II,Новообразования,C04,60_64,муж,6,60-64,13
II,Новообразования,C04,65_69,жен,4,65-69,14
II,Новообразования,C04,65_69,муж,8,65-69,14
II,Новообразования,C04,70_74,жен,3,70-74,15
II,Новообразования,C04,70_74,муж,2,70-74,15
II,Новообразования,C04,75_79,жен,2,75-79,16
II,Новообразования,C04,75_79,муж,1,75-79,16
II,Новообразования,C04,80_plus,жен,1,80+,17
II,Новообразования,C04,80_plus,муж,2,80+,17
II,Новообразования,C05,45_49,жен,1,45-49,10
II,Новообразования,C05,50_54,муж,2,50-54,11
II,Новообразования,C05,55_59,жен,1,55-59,12
II,Новообразования,C05,55_59,муж,4,55-59,12
II,Новообразования,C05,60_64,жен,1,60-64,13
II,Новообразования,C05,60_64,муж,2,60-64,13
II,Новообразования,C05,65_69,жен,2,65-69,14
II,Новообразования,C05,70_74,муж,2,70-74,15
II,Новообразования,C05,75_79,жен,1,75-79,16
II,Новообразования,C06,45_49,жен,1,45-49,10
II,Новообразования,C06,50_54,муж,1,50-54,11
II,Новообразования,C06,55_59,муж,1,55-59,12
II,Новообразования,C06,60_64,муж,1,60-64,13
II,Новообразования,C06,65_69,жен,3,65-69,14
II,Новообразования,C06,65_69,муж,2,65-69,14
II,Новообразования,C06,75_79,муж,1,75-79,16
II,Новообразования,C07,35_39,жен,1,35-39,8
II,Новообразования,C07,50_54,жен,1,50-54,11
II,Новообразования,C07,55_59,жен,1,55-59,12
II,Новообразования,C07,55_59,муж,2,55-59,12
II,Новообразования,C07,60_64,муж,3,60-64,13
II,Новообразования,C07,65_69,жен,1,65-69,14
