icd_class,icd_class_short,icd3,deaths,mean_age,median_age,male_deaths,working_age_deaths,top_description,class_deaths,share_within_class,male_share,working_age_share,deaths_2016,deaths_2017,deaths_2018,deaths_2019,deaths_2020,deaths_2021,deaths_2022,deaths_2023,deaths_2024,deaths_2025,rank_within_class
IX,Кровообращение,I25,4157,73.24633148905461,74.0,2148,936,Другие формы хронической ишемической болезни сердца,17233,0.2412232344919631,0.5167187875872024,0.22516237671397643,1053.0,356.0,431.0,282.0,295.0,251.0,321.0,369.0,409.0,390.0,1
IX,Кровообращение,I63,2211,72.18543645409316,72.0,1012,549,"Инфаркт мозга, вызванный тромбозом мозговых артерий",17233,0.1283003539720304,0.4577114427860697,0.24830393487109906,357.0,284.0,275.0,240.0,212.0,224.0,162.0,173.0,155.0,129.0,2
IX,Кровообращение,I21,1955,65.55652173913043,66.0,1289,903,Острый трансмуральный инфаркт передней стенки миокарда,17233,0.11344513433528695,0.6593350383631713,0.4618925831202046,252.0,190.0,201.0,160.0,184.0,198.0,186.0,194.0,198.0,192.0,3
IX,Кровообращение,I69,1446,73.4460580912863,74.0,684,279,Последствия инфаркта мозга,17233,0.08390877966691812,0.4730290456431535,0.19294605809128632,52.0,92.0,114.0,169.0,192.0,176.0,172.0,144.0,171.0,164.0,4
IX,Кровообращение,I61,1220,61.82868852459016,62.0,741,704,Внутримозговое кровоизлияние в полушарие субкортикальное,17233,0.07079440608135554,0.6073770491803279,0.5770491803278689,177.0,132.0,150.0,136.0,101.0,114.0,108.0,98.0,102.0,102.0,5
IX,Кровообращение,I42,1076,60.05576208178439,60.0,710,660,Дилатационная кардиомиопатия,17233,0.06243834503568734,0.6598513011152416,0.6133828996282528,165.0,55.0,69.0,53.0,81.0,71.0,129.0,141.0,163.0,149.0,6
IX,Кровообращение,I80,975,70.18461538461538,70.0,404,310,Флебит и тромбофлебит других глубоких сосудов нижних конечностей,17233,0.0565774966633784,0.41435897435897434,0.31794871794871793,34.0,73.0,109.0,134.0,151.0,112.0,106.0,94.0,66.0,96.0,7
IX,Кровообращение,I67,828,79.61111111111111,81.5,253,58,Другие уточненные поражения сосудов мозга,17233,0.04804735101259212,0.3055555555555556,0.07004830917874397,140.0,30.0,9.0,6.0,62.0,35.0,138.0,154.0,104.0,150.0,8
IX,Кровообращение,I70,582,74.83848797250859,74.0,300,104,Атеросклероз артерий конечностей,17233,0.033772413392908956,0.5154639175257731,0.17869415807560138,55.0,62.0,81.0,64.0,60.0,69.0,45.0,64.0,40.0,42.0,9
IX,Кровообращение,I24,386,58.27461139896373,60.0,280,262,Другие формы острой ишемической болезни сердца,17233,0.022398885858527243,0.7253886010362695,0.6787564766839378,319.0,42.0,1.0,2.0,6.0,7.0,2.0,3.0,1.0,3.0,10
IX,Кровообращение,I71,377,69.63129973474801,70.0,222,113,Аневризма грудной части аорты разорванная,17233,0.021876632043172983,0.5888594164456233,0.29973474801061006,32.0,21.0,48.0,40.0,50.0,34.0,28.0,47.0,35.0,42.0,11
IX,Кровообращение,I35,357,78.25770308123249,80.0,119,43,Аортальный (клапанный) стеноз,17233,0.0207160680090524,0.3333333333333333,0.12044817927170869,8.0,14.0,48.0,52.0,39.0,44.0,29.0,32.0,40.0,51.0,12
IX,Кровообращение,I22,350,67.56857142857143,67.0,236,141,Повторный инфаркт передней стенки миокарда,17233,0.020309870597110195,0.6742857142857143,0.40285714285714286,84.0,55.0,80.0,59.0,43.0,27.0,2.0,0.0,0.0,0.0,13
IX,Кровообращение,I46,273,53.62271062271062,54.0,218,211,"Внезапная сердечная смерть, так описанная",17233,0.01584169906574595,0.7985347985347986,0.7728937728937729,0.0,26.0,95.0,75.0,37.0,39.0,1.0,0.0,0.0,0.0,14
IX,Кровообращение,I60,239,57.33472803347281,56.0,109,158,Субарахноидальное кровоизлияние из средней мозговой артерии,17233,0.013868740207740963,0.4560669456066946,0.6610878661087866,35.0,38.0,30.0,29.0,28.0,17.0,7.0,20.0,21.0,14.0,15
IX,Кровообращение,I34,110,75.48181818181818,78.0,31,17,Митральная (клапанная) недостаточность,17233,0.006383102187663204,0.2818181818181818,0.15454545454545454,0.0,11.0,13.0,13.0,7.0,12.0,9.0,17.0,8.0,20.0,16
IX,Кровообращение,I11,91,65.08791208791209,65.0,56,44,Гипертензивная [гипертоническая] болезнь с преимущественным поражением сердца с (застойной) сердечной недостаточностью,17233,0.005280566355248651,0.6153846153846154,0.4835164835164835,25.0,8.0,11.0,15.0,10.0,13.0,4.0,1.0,2.0,2.0,17
