year,icd_class,icd_class_short,icd3,deaths
2016,II,Новообразования,C00,2
2016,II,Новообразования,C01,5
2016,II,Новообразования,C02,8
2016,II,Новообразования,C03,1
2016,II,Новообразования,C04,9
2016,II,Новообразования,C06,1
2016,II,Новообразования,C07,2
2016,II,Новообразования,C08,3
2016,II,Новообразования,C10,11
2016,II,Новообразования,C13,5
2016,II,Новообразования,C14,2
2016,II,Новообразования,C15,44
2016,II,Новообразования,C16,115
2016,II,Новообразования,C17,5
2016,II,Новообразования,C18,77
2016,II,Новообразования,C19,5
2016,II,Новообразования,C20,20
2016,II,Новообразования,C21,4
2016,II,Новообразования,C22,63
2016,II,Новообразования,C23,3
2016,II,Новообразования,C24,7
2016,II,Новообразования,C25,82
2016,II,Новообразования,C26,1
2016,II,Новообразования,C31,3
2016,II,Новообразования,C32,29
2016,II,Новообразования,C33,2
2016,II,Новообразования,C34,239
2016,II,Новообразования,C38,5
2016,II,Новообразования,C39,1
2016,II,Новообразования,C40,4
2016,II,Новообразования,C41,6
2016,II,Новообразования,C43,15
2016,II,Новообразования,C44,6
2016,II,Новообразования,C45,6
2016,II,Новообразования,C48,8
2016,II,Новообразования,C49,2
2016,II,Новообразования,C50,71
2016,II,Новообразования,C53,24
2016,II,Новообразования,C54,21
2016,II,Новообразования,C56,24
2016,II,Новообразования,C57,1
2016,II,Новообразования,C61,36
2016,II,Новообразования,C62,1
2016,II,Новообразования,C64,29
2016,II,Новообразования,C66,1
2016,II,Новообразования,C67,37
2016,II,Новообразования,C69,1
2016,II,Новообразования,C70,3
2016,II,Новообразования,C71,17
2016,II,Новообразования,C72,1
2016,II,Новообразования,C73,2
2016,II,Новообразования,C74,3
2016,II,Новообразования,C76,2
2016,II,Новообразования,C77,2
2016,II,Новообразования,C80,8
2016,II,Новообразования,C82,1
2016,II,Новообразования,C83,9
2016,II,Новообразования,C84,1
2016,II,Новообразования,C85,5
2016,II,Новообразования,C90,11
2016,II,Новообразования,C91,3
2016,II,Новообразования,C92,5
2016,II,Новообразования,C94,2
2016,II,Новообразования,C95,4
2016,II,Новообразования,C97,6
2016,II,Новообразования,D13,3
2016,II,Новообразования,D16,1
2016,II,Новообразования,D25,1
2016,II,Новообразования,D27,1
2016,II,Новообразования,D32,4
2016,II,Новообразования,D33,1
2016,II,Новообразования,D35,1
2016,II,Новообразования,D39,1
2016,II,Новообразования,D42,1
2016,II,Новообразования,D43,3
2016,II,Новообразования,D45,1
2016,II,Новообразования,D46,4
2016,II,Новообразования,D47,1
2016,IV,Эндокринные и обмен,E04,1
2016,IV,Эндокринные и обмен,E10,10
2016,IV,Эндокринные и обмен,E11,68
2016,IV,Эндокринные и обмен,E51,2
2016,IV,Эндокринные и обмен,E66,1
2016,IV,Эндокринные и обмен,E68,1
2016,IV,Эндокринные и обмен,E76,1
2016,IV,Эндокринные и обмен,E85,1
2016,IX,Кровообращение,I05,2
2016,IX,Кровообращение,I08,3
2016,IX,Кровообращение,I11,25
2016,IX,Кровообращение,I12,1
2016,IX,Кровообращение,I13,12
2016,IX,Кровообращение,I21,252
2016,IX,Кровообращение,I22,84
2016,IX,Кровообращение,I24,319
2016,IX,Кровообращение,I25,1053
2016,IX,Кровообращение,I26,4
2016,IX,Кровообращение,I27,1
2016,IX,Кровообращение,I28,1
2016,IX,Кровообращение,I30,5
2016,IX,Кровообращение,I33,10
2016,IX,Кровообращение,I35,8
2016,IX,Кровообращение,I40,2
2016,IX,Кровообращение,I42,165
2016,IX,Кровообращение,I44,1
2016,IX,Кровообращение,I48,1
2016,IX,Кровообращение,I51,9
2016,IX,Кровообращение,I60,35
2016,IX,Кровообращение,I61,177
2016,IX,Кровообращение,I62,11
2016,IX,Кровообращение,I63,357
2016,IX,Кровообращение,I64,6
2016,IX,Кровообращение,I66,3
2016,IX,Кровообращение,I67,140
2016,IX,Кровообращение,I69,52
2016,IX,Кровообращение,I70,55
2016,IX,Кровообращение,I71,32
2016,IX,Кровообращение,I74,4
2016,IX,Кровообращение,I80,34
2016,IX,Кровообращение,I82,1
2016,IX,Кровообращение,I83,3
2016,IX,Кровообращение,I85,1
2016,X,Дыхание,J09,5
2016,X,Дыхание,J10,2
2016,X,Дыхание,J12,3
2016,X,Дыхание,J15,5
2016,X,Дыхание,J18,315
2016,X,Дыхание,J39,1
2016,X,Дыхание,J44,76
2016,X,Дыхание,J45,3
2016,X,Дыхание,J84,4
2016,X,Дыхание,J85,28
2016,X,Дыхание,J86,3
2016,X,Дыхание,J94,1
2016,X,Дыхание,J98,1
2016,XI,Пищеварение,K12,2
2016,XI,Пищеварение,K13,1
2016,XI,Пищеварение,K22,9
2016,XI,Пищеварение,K25,25
2016,XI,Пищеварение,K26,16
2016,XI,Пищеварение,K29,6
2016,XI,Пищеварение,K42,2
2016,XI,Пищеварение,K43,2
2016,XI,Пищеварение,K44,2
2016,XI,Пищеварение,K45,1
2016,XI,Пищеварение,K50,2
2016,XI,Пищеварение,K51,4
2016,XI,Пищеварение,K55,52
2016,XI,Пищеварение,K56,12
2016,XI,Пищеварение,K57,2
2016,XI,Пищеварение,K61,1
2016,XI,Пищеварение,K63,1
2016,XI,Пищеварение,K65,3
2016,XI,Пищеварение,K70,33
2016,XI,Пищеварение,K71,10
2016,XI,Пищеварение,K72,1
2016,XI,Пищеварение,K73,2
2016,XI,Пищеварение,K74,198
2016,XI,Пищеварение,K75,2
2016,XI,Пищеварение,K76,109
2016,XI,Пищеварение,K80,9
2016,XI,Пищеварение,K81,4
2016,XI,Пищеварение,K83,3
2016,XI,Пищеварение,K85,46
2016,XI,Пищеварение,K86,16
2016,XI,Пищеварение,K92,1
2016,XIX,Травмы и отравления,S01,2
2016,XIX,Травмы и отравления,S02,66
2016,XIX,Травмы и отравления,S06,58
2016,XIX,Травмы и отравления,S07,2
2016,XIX,Травмы и отравления,S09,4
2016,XIX,Травмы и отравления,S12,3
2016,XIX,Травмы и отравления,S13,2
2016,XIX,Травмы и отравления,S14,4
2016,XIX,Травмы и отравления,S15,8
2016,XIX,Травмы и отравления,S21,5
2016,XIX,Травмы и отравления,S22,7
2016,XIX,Травмы и отравления,S25,9
2016,XIX,Травмы и отравления,S26,15
2016,XIX,Травмы и отравления,S27,16
2016,XIX,Травмы и отравления,S29,5
2016,XIX,Травмы и отравления,S31,2
2016,XIX,Травмы и отравления,S35,3
2016,XIX,Травмы и отравления,S36,9
2016,XIX,Травмы и отравления,S37,1
2016,XIX,Травмы и отравления,S45,2
2016,XIX,Травмы и отравления,S55,1
2016,XIX,Травмы и отравления,S72,7
2016,XIX,Травмы и отравления,S75,2
2016,XIX,Травмы и отравления,T01,6
2016,XIX,Травмы и отравления,T02,2
2016,XIX,Травмы и отравления,T05,1
2016,XIX,Травмы и отравления,T06,76
2016,XIX,Травмы и отравления,T17,34
2016,XIX,Травмы и отравления,T29,11
2016,XIX,Травмы и отравления,T35,3
2016,XIX,Травмы и отравления,T40,7
2016,XIX,Травмы и отравления,T42,9
2016,XIX,Травмы и отравления,T45,1
2016,XIX,Травмы и отравления,T46,1
2016,XIX,Травмы и отравления,T48,1
2016,XIX,Травмы и отравления,T50,1
2016,XIX,Травмы и отравления,T51,95
2016,XIX,Травмы и отравления,T52,1
2016,XIX,Травмы и отравления,T54,7
2016,XIX,Травмы и отравления,T58,42
2016,XIX,Травмы и отравления,T59,4
2016,XIX,Травмы и отравления,T65,31
2016,XIX,Травмы и отравления,T68,34
2016,XIX,Травмы и отравления,T70,2
2016,XIX,Травмы и отравления,T71,139
2016,XIX,Травмы и отравления,T75,42
2016,XIX,Травмы и отравления,T81,1
2016,XIX,Травмы и отравления,T90,2
2016,XIX,Травмы и отравления,T98,1
2017,II,Новообразования,C00,3
2017,II,Новообразования,C01,4
2017,II,Новообразования,C02,3
2017,II,Новообразования,C03,2
2017,II,Новообразования,C04,8
2017,II,Новообразования,C10,15
2017,II,Новообразования,C12,1
2017,II,Новообразования,C13,4
2017,II,Новообразования,C14,5
2017,II,Новообразования,C15,49
2017,II,Новообразования,C16,123
2017,II,Новообразования,C17,5
2017,II,Новообразования,C18,74
2017,II,Новообразования,C19,10
2017,II,Новообразования,C20,25
2017,II,Новообразования,C21,4
2017,II,Новообразования,C22,62
2017,II,Новообразования,C23,4
2017,II,Новообразования,C24,6
2017,II,Новообразования,C25,66
2017,II,Новообразования,C26,2
2017,II,Новообразования,C31,1
2017,II,Новообразования,C32,22
2017,II,Новообразования,C34,208
2017,II,Новообразования,C38,2
2017,II,Новообразования,C40,1
2017,II,Новообразования,C41,1
2017,II,Новообразования,C43,11
2017,II,Новообразования,C44,4
2017,II,Новообразования,C45,9
2017,II,Новообразования,C47,1
2017,II,Новообразования,C48,8
2017,II,Новообразования,C49,4
2017,II,Новообразования,C50,71
2017,II,Новообразования,C51,3
2017,II,Новообразования,C52,2
2017,II,Новообразования,C53,28
2017,II,Новообразования,C54,21
2017,II,Новообразования,C56,33
2017,II,Новообразования,C57,3
2017,II,Новообразования,C60,2
2017,II,Новообразования,C61,40
2017,II,Новообразования,C62,1
2017,II,Новообразования,C63,1
2017,II,Новообразования,C64,42
2017,II,Новообразования,C66,1
2017,II,Новообразования,C67,25
2017,II,Новообразования,C68,2
2017,II,Новообразования,C69,1
2017,II,Новообразования,C71,23
2017,II,Новообразования,C72,1
2017,II,Новообразования,C73,2
2017,II,Новообразования,C74,3
2017,II,Новообразования,C75,1
2017,II,Новообразования,C76,2
2017,II,Новообразования,C77,1
2017,II,Новообразования,C78,1
2017,II,Новообразования,C80,6
2017,II,Новообразования,C81,2
2017,II,Новообразования,C83,6
2017,II,Новообразования,C84,3
2017,II,Новообразования,C85,3
2017,II,Новообразования,C90,5
2017,II,Новообразования,C91,14
2017,II,Новообразования,C92,13
2017,II,Новообразования,C93,1
2017,II,Новообразования,C94,2
2017,II,Новообразования,C95,1
2017,II,Новообразования,C96,1
2017,II,Новообразования,C97,15
2017,II,Новообразования,D15,1
2017,II,Новообразования,D25,1
2017,II,Новообразования,D32,4
2017,II,Новообразования,D33,3
2017,II,Новообразования,D37,2
2017,II,Новообразования,D39,1
2017,II,Новообразования,D41,2
2017,II,Новообразования,D42,3
2017,II,Новообразования,D43,5
2017,II,Новообразования,D46,2
2017,II,Новообразования,D47,1
2017,II,Новообразования,D48,2
2017,IV,Эндокринные и обмен,E05,4
2017,IV,Эндокринные и обмен,E10,16
2017,IV,Эндокринные и обмен,E11,209
2017,IV,Эндокринные и обмен,E13,3
2017,IV,Эндокринные и обмен,E14,1
2017,IV,Эндокринные и обмен,E43,5
2017,IV,Эндокринные и обмен,E44,1
2017,IV,Эндокринные и обмен,E66,2
2017,IV,Эндокринные и обмен,E68,1
2017,IV,Эндокринные и обмен,E84,1
2017,IV,Эндокринные и обмен,E85,1
2017,IX,Кровообращение,I05,3
2017,IX,Кровообращение,I06,2
2017,IX,Кровообращение,I08,3
2017,IX,Кровообращение,I11,8
2017,IX,Кровообращение,I12,1
2017,IX,Кровообращение,I13,3
2017,IX,Кровообращение,I21,190
2017,IX,Кровообращение,I22,55
2017,IX,Кровообращение,I24,42
2017,IX,Кровообращение,I25,356
2017,IX,Кровообращение,I26,2
2017,IX,Кровообращение,I27,1
2017,IX,Кровообращение,I28,2
2017,IX,Кровообращение,I31,3
2017,IX,Кровообращение,I34,11
2017,IX,Кровообращение,I35,14
2017,IX,Кровообращение,I38,1
2017,IX,Кровообращение,I40,1
2017,IX,Кровообращение,I42,55
2017,IX,Кровообращение,I46,26
2017,IX,Кровообращение,I48,1
2017,IX,Кровообращение,I51,8
2017,IX,Кровообращение,I60,38
2017,IX,Кровообращение,I61,132
2017,IX,Кровообращение,I62,13
2017,IX,Кровообращение,I63,284
2017,IX,Кровообращение,I67,30
2017,IX,Кровообращение,I69,92
2017,IX,Кровообращение,I70,62
2017,IX,Кровообращение,I71,21
2017,IX,Кровообращение,I72,2
2017,IX,Кровообращение,I74,7
