age_band,age_band_label,age_band_order,population,standard_weight
0,0,0,3049.0,0.006323207353087567
1_4,1-4,1,17327.0,0.03593381889371868
5_9,5-9,2,27122.0,0.05624730397849819
10_14,10-14,3,25343.0,0.05255790224640807
15_19,15-19,4,21584.0,0.04476225238079437
20_24,20-24,5,24298.0,0.05039071573149285
25_29,25-29,6,26307.0,0.05455710588313369
30_34,30-34,7,42138.0,0.08738842618707901
35_39,35-39,8,44700.0,0.09270166240833527
40_44,40-44,9,42017.0,0.08713748880114146
45_49,45-49,10,38157.0,0.07913237880346417
50_54,50-54,11,31276.0,0.0648621296081229
55_59,55-59,12,30205.0,0.06264102266317152
60_64,60-64,13,32889.0,0.06820727013305904
65_69,65-69,14,32091.0,0.0665523277034874
70_74,70-74,15,22630.0,0.04693151275840329
75_79,75-79,16,8645.0,0.017928542987025915
80_plus,80+,17,12414.0,0.0257449314795766
