year,icd_class,icd_class_short,icd_class_label,icd_class_order,deaths,year_total,share_of_year
2016,I,Инфекционные болезни,Некоторые инфекционные и паразитарные болезни,1,71,6408,0.011079900124843944
2016,II,Новообразования,Новообразования,2,1155,6408,0.1802434456928839
2016,III,Кровь и иммунитет,Болезни крови и иммунного механизма,3,2,6408,0.00031210986267166043
2016,IV,Эндокринные и обмен,"Болезни эндокринной системы, расстройства питания и обмена веществ",4,85,6408,0.013264669163545567
2016,IX,Кровообращение,Болезни системы кровообращения,9,2869,6408,0.4477215980024969
2016,V,Психические расстройства,Психические расстройства и расстройства поведения,5,15,6408,0.0023408239700374533
2016,VI,Нервная система,Болезни нервной системы,6,65,6408,0.010143570536828964
2016,X,Дыхание,Болезни органов дыхания,10,447,6408,0.06975655430711611
2016,XI,Пищеварение,Болезни органов пищеварения,11,577,6408,0.09004369538077403
2016,XII,Кожа,Болезни кожи и подкожной клетчатки,12,7,6408,0.0010923845193508116
2016,XIII,Костно-мышечные,Болезни костно-мышечной системы и соединительной ткани,13,10,6408,0.001560549313358302
2016,XIV,Мочеполовая система,Болезни мочеполовой системы,14,107,6408,0.016697877652933832
2016,XIX,Травмы и отравления,"Травмы, отравления и некоторые другие последствия воздействия внешних причин",19,787,6408,0.12281523096129837
2016,XV,Беременность и роды,"Беременность, роды и послеродовой период",15,2,6408,0.00031210986267166043
2016,XVI,Перинатальные состояния,"Отдельные состояния, возникающие в перинатальном периоде",16,11,6408,0.0017166042446941324
2016,XVII,Врожденные аномалии,"Врожденные аномалии, деформации и хромосомные нарушения",17,18,6408,0.0028089887640449437
2016,XVIII,Симптомы и неточные причины,"Симптомы, признаки и отклонения от нормы, не классифицированные в других рубриках",18,180,6408,0.028089887640449437
2017,I,Инфекционные болезни,Некоторые инфекционные и паразитарные болезни,1,108,5879,0.018370471168566084
2017,II,Новообразования,Новообразования,2,1156,5879,0.19663208028576287
2017,III,Кровь и иммунитет,Болезни крови и иммунного механизма,3,9,5879,0.0015308725973805068
2017,IV,Эндокринные и обмен,"Болезни эндокринной системы, расстройства питания и обмена веществ",4,244,5879,0.04150365708453819
2017,IX,Кровообращение,Болезни системы кровообращения,9,1549,5879,0.2634801837047117
2017,V,Психические расстройства,Психические расстройства и расстройства поведения,5,152,5879,0.025854737200204116
2017,VI,Нервная система,Болезни нервной системы,6,597,5879,0.10154788229290695
2017,VIII,Ухо,Болезни уха и сосцевидного отростка,8,1,5879,0.00017009695526450075
2017,X,Дыхание,Болезни органов дыхания,10,231,5879,0.039292396666099676
2017,XI,Пищеварение,Болезни органов пищеварения,11,637,5879,0.108351760503487
2017,XII,Кожа,Болезни кожи и подкожной клетчатки,12,14,5879,0.0023813573737030106
2017,XIII,Костно-мышечные,Болезни костно-мышечной системы и соединительной ткани,13,16,5879,0.002721551284232012
2017,XIV,Мочеполовая система,Болезни мочеполовой системы,14,177,5879,0.030107161081816637
2017,XIX,Травмы и отравления,"Травмы, отравления и некоторые другие последствия воздействия внешних причин",19,781,5879,0.1328457220615751
2017,XVI,Перинатальные состояния,"Отдельные состояния, возникающие в перинатальном периоде",16,16,5879,0.002721551284232012
2017,XVII,Врожденные аномалии,"Врожденные аномалии, деформации и хромосомные нарушения",17,11,5879,0.0018710665079095085
