icd_class,icd_class_short,icd3,deaths,mean_age,male_deaths,top_description,total_deaths,share_within_class,male_share
I,Инфекционные болезни,A15,306,47.42483660130719,229,"Туберкулез легких, подтвержденный гистологически",730,0.4191780821917808,0.7483660130718954
I,Инфекционные болезни,B20,148,41.08783783783784,95,"Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций",730,0.20273972602739726,0.6418918918918919
I,Инфекционные болезни,B18,93,55.473118279569896,56,Хронический вирусный гепатит C,730,0.1273972602739726,0.6021505376344086
I,Инфекционные болезни,A16,38,51.28947368421053,27,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,730,0.052054794520547946,0.7105263157894737
I,Инфекционные болезни,A46,31,73.70967741935483,8,Рожа,730,0.04246575342465753,0.25806451612903225
I,Инфекционные болезни,A04,29,60.206896551724135,6,"Энтероколит, вызванный Clostridium difficile",730,0.03972602739726028,0.20689655172413793
I,Инфекционные болезни,B22,16,49.1875,8,"Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома",730,0.021917808219178082,0.5
I,Инфекционные болезни,A09,15,42.266666666666666,8,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения,730,0.02054794520547945,0.5333333333333333
I,Инфекционные болезни,A19,7,56.714285714285715,4,Острый милиарный туберкулез одной уточненной локализации,730,0.009589041095890411,0.5714285714285714
I,Инфекционные болезни,B23,6,43.833333333333336,3,"Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии",730,0.00821917808219178,0.5
I,Инфекционные болезни,A48,4,46.0,3,Газовая гангрена,730,0.005479452054794521,0.75
I,Инфекционные болезни,B21,4,55.5,2,"Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований",730,0.005479452054794521,0.5
I,Инфекционные болезни,A32,3,47.0,2,Листериозный менингит и менингоэнцефалит,730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,A52,3,50.333333333333336,3,Нейросифилис с симптомами,730,0.00410958904109589,1.0
I,Инфекционные болезни,B24,3,37.0,2,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная",730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,B34,3,23.0,2,Другие вирусные инфекции   ,730,0.00410958904109589,0.6666666666666666
I,Инфекционные болезни,A08,2,26.5,1,Ротавирусный энтерит   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A39,2,9.0,1,Острая менингококковая эндокардит   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A49,2,65.0,2,Бактериальная инфекция неуточненная   ,730,0.0027397260273972603,1.0
I,Инфекционные болезни,B27,2,64.0,0,Гамма-герпесвирусный мононуклеоз   ,730,0.0027397260273972603,0.0
I,Инфекционные болезни,B44,2,64.5,1,Инвазивный аспергиллез   ,730,0.0027397260273972603,0.5
I,Инфекционные болезни,A02,1,46.0,1,Сальмонеллезный энтерит   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A05,1,40.0,0,Бактериальное пищевое отравление неуточненное,730,0.0013698630136986301,0.0
I,Инфекционные болезни,A18,1,59.0,1,Туберкулез других органов   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A31,1,61.0,0,Инфекция  вызванная Mycobacterium  ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,A84,1,63.0,1,Энцефалит  вызванный клещом  ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,A86,1,28.0,0,Вирусный энцефалит неуточненный   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B00,1,33.0,1,Герпетическая энцефалит   ,730,0.0013698630136986301,1.0
I,Инфекционные болезни,B83,1,69.0,0,Гельминтоз неуточненный   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B90,1,54.0,1,Отдаленные последствия туберкулеза органов дыхания и неуточненного туберкулеза,730,0.0013698630136986301,1.0
I,Инфекционные болезни,B91,1,31.0,0,Последствия полиомиелита   ,730,0.0013698630136986301,0.0
I,Инфекционные болезни,B94,1,68.0,1,Последствия вирусного энцефалита   ,730,0.0013698630136986301,1.0
II,Новообразования,C34,2332,66.45068610634648,1745,"Злокачественное новообразование бронхов или легкого, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.20540826213335683,0.7482847341337907
II,Новообразования,C16,1083,67.61034164358264,679,"Злокачественное новообразование желудка, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.09539328811767815,0.6269621421975993
II,Новообразования,C18,816,70.34191176470588,346,Злокачественное новообразование сигмовидной кишки,11353,0.07187527525764115,0.42401960784313725
II,Новообразования,C25,775,67.07354838709678,363,Злокачественное новообразование головки поджелудочной железы,11353,0.06826389500572536,0.46838709677419355
II,Новообразования,C50,675,65.4074074074074,7,"Злокачественное новообразование молочной железы, выходящее за пределы одной и более вышеуказанных локализаций",11353,0.05945565048885757,0.01037037037037037
II,Новообразования,C22,552,65.35326086956522,375,Печеночноклеточный рак,11353,0.04862150973311019,0.6793478260869565
