municipality,icd_class,icd_class_short,deaths,total_deaths,share_within_class
Южно-Сахалинск г,I,Инфекционные болезни,252,730,0.3452054794520548
Холмский р-н,I,Инфекционные болезни,69,730,0.09452054794520548
Охинский р-н,I,Инфекционные болезни,61,730,0.08356164383561644
Углегорский р-н,I,Инфекционные болезни,48,730,0.06575342465753424
Корсаковский р-н,I,Инфекционные болезни,45,730,0.06164383561643835
Долинский р-н,I,Инфекционные болезни,44,730,0.06027397260273973
Поронайский р-н,I,Инфекционные болезни,44,730,0.06027397260273973
Александровск-Сахалинский р-н,I,Инфекционные болезни,38,730,0.052054794520547946
Тымовский р-н,I,Инфекционные болезни,25,730,0.03424657534246575
Невельский р-н,I,Инфекционные болезни,22,730,0.030136986301369864
Муниципалитет не указан,I,Инфекционные болезни,19,730,0.026027397260273973
Макаровский р-н,I,Инфекционные болезни,15,730,0.02054794520547945
Ногликский р-н,I,Инфекционные болезни,13,730,0.01780821917808219
Анивский р-н,I,Инфекционные болезни,11,730,0.015068493150684932
Смирныховский р-н,I,Инфекционные болезни,10,730,0.0136986301369863
Томаринский р-н,I,Инфекционные болезни,8,730,0.010958904109589041
Южно-Курильский р-н,I,Инфекционные болезни,5,730,0.00684931506849315
Северо-Курильский р-н,I,Инфекционные болезни,1,730,0.0013698630136986301
Южно-Сахалинск г,II,Новообразования,3774,11353,0.33242314806659035
Холмский р-н,II,Новообразования,1232,11353,0.10851757244781116
Корсаковский р-н,II,Новообразования,982,11353,0.08649696115564168
Углегорский р-н,II,Новообразования,676,11353,0.05954373293402625
Поронайский р-н,II,Новообразования,620,11353,0.05461111600458029
Охинский р-н,II,Новообразования,598,11353,0.052673302210869376
Долинский р-н,II,Новообразования,588,11353,0.051792477759182595
Невельский р-н,II,Новообразования,476,11353,0.04192724390029067
Анивский р-н,II,Новообразования,408,11353,0.03593763762882057
Тымовский р-н,II,Новообразования,390,11353,0.03435215361578437
Александровск-Сахалинский р-н,II,Новообразования,351,11353,0.030916938254205936
Томаринский р-н,II,Новообразования,282,11353,0.02483924953756716
Смирныховский р-н,II,Новообразования,240,11353,0.02113978684048269
Ногликский р-н,II,Новообразования,235,11353,0.0206993746146393
Макаровский р-н,II,Новообразования,221,11353,0.019466220382277813
Муниципалитет не указан,II,Новообразования,108,11353,0.009512904078217211
Южно-Курильский р-н,II,Новообразования,92,11353,0.008103584955518365
Курильский р-н,II,Новообразования,51,11353,0.004492204703602572
Северо-Курильский р-н,II,Новообразования,28,11353,0.0024663084647229805
J18.8,II,Новообразования,1,11353,8.808244516867788e-05
Южно-Сахалинск г,III,Кровь и иммунитет,21,71,0.29577464788732394
Холмский р-н,III,Кровь и иммунитет,14,71,0.19718309859154928
Долинский р-н,III,Кровь и иммунитет,4,71,0.056338028169014086
Тымовский р-н,III,Кровь и иммунитет,4,71,0.056338028169014086
Углегорский р-н,III,Кровь и иммунитет,4,71,0.056338028169014086
Александровск-Сахалинский р-н,III,Кровь и иммунитет,3,71,0.04225352112676056
Корсаковский р-н,III,Кровь и иммунитет,3,71,0.04225352112676056
Невельский р-н,III,Кровь и иммунитет,3,71,0.04225352112676056
Охинский р-н,III,Кровь и иммунитет,3,71,0.04225352112676056
Поронайский р-н,III,Кровь и иммунитет,3,71,0.04225352112676056
Анивский р-н,III,Кровь и иммунитет,2,71,0.028169014084507043
Макаровский р-н,III,Кровь и иммунитет,2,71,0.028169014084507043
Томаринский р-н,III,Кровь и иммунитет,2,71,0.028169014084507043
Ногликский р-н,III,Кровь и иммунитет,1,71,0.014084507042253521
Северо-Курильский р-н,III,Кровь и иммунитет,1,71,0.014084507042253521
Смирныховский р-н,III,Кровь и иммунитет,1,71,0.014084507042253521
Южно-Сахалинск г,IV,Эндокринные и обмен,699,3183,0.21960414703110273
Холмский р-н,IV,Эндокринные и обмен,318,3183,0.0999057492931197
Охинский р-н,IV,Эндокринные и обмен,301,3183,0.09456487590323594
Корсаковский р-н,IV,Эндокринные и обмен,290,3183,0.09110901665095822
Поронайский р-н,IV,Эндокринные и обмен,231,3183,0.07257304429783223
Углегорский р-н,IV,Эндокринные и обмен,200,3183,0.06283380458686773
Александровск-Сахалинский р-н,IV,Эндокринные и обмен,175,3183,0.05497957901350927
Долинский р-н,IV,Эндокринные и обмен,172,3183,0.05403707194470625
Невельский р-н,IV,Эндокринные и обмен,142,3183,0.04461200125667609
Тымовский р-н,IV,Эндокринные и обмен,141,3183,0.04429783223374175
Томаринский р-н,IV,Эндокринные и обмен,132,3183,0.04147031102733271
Анивский р-н,IV,Эндокринные и обмен,100,3183,0.031416902293433864
Ногликский р-н,IV,Эндокринные и обмен,83,3183,0.02607602890355011
Макаровский р-н,IV,Эндокринные и обмен,59,3183,0.01853597235312598
Смирныховский р-н,IV,Эндокринные и обмен,59,3183,0.01853597235312598
Курильский р-н,IV,Эндокринные и обмен,25,3183,0.007854225573358466
Северо-Курильский р-н,IV,Эндокринные и обмен,20,3183,0.006283380458686773
Южно-Курильский р-н,IV,Эндокринные и обмен,19,3183,0.0059692114357524344
Муниципалитет не указан,IV,Эндокринные и обмен,16,3183,0.005026704366949419
E11.6,IV,Эндокринные и обмен,1,3183,0.00031416902293433867
Южно-Сахалинск г,IX,Кровообращение,5924,17233,0.3437590669065166
Холмский р-н,IX,Кровообращение,1473,17233,0.0854755411129809
Корсаковский р-н,IX,Кровообращение,1399,17233,0.08118145418673475
Долинский р-н,IX,Кровообращение,1103,17233,0.06400510648175013
Углегорский р-н,IX,Кровообращение,982,17233,0.056983694075320605
Поронайский р-н,IX,Кровообращение,938,17233,0.05443045320025532
Охинский р-н,IX,Кровообращение,862,17233,0.05002030987059711
Невельский р-н,IX,Кровообращение,692,17233,0.040155515580572156
Тымовский р-н,IX,Кровообращение,655,17233,0.03800847211744908
Александровск-Сахалинский р-н,IX,Кровообращение,525,17233,0.030464805895665293
Анивский р-н,IX,Кровообращение,518,17233,0.03005860848372309
Смирныховский р-н,IX,Кровообращение,442,17233,0.025648465154064874
Макаровский р-н,IX,Кровообращение,391,17233,0.02268902686705739
Ногликский р-н,IX,Кровообращение,391,17233,0.02268902686705739
Томаринский р-н,IX,Кровообращение,374,17233,0.021702547438054894
Муниципалитет не указан,IX,Кровообращение,205,17233,0.011895781349735972
Южно-Курильский р-н,IX,Кровообращение,176,17233,0.010212963500261126
Курильский р-н,IX,Кровообращение,126,17233,0.00731155341495967
Северо-Курильский р-н,IX,Кровообращение,54,17233,0.003133522892125573
I21.0,IX,Кровообращение,1,17233,5.802820170602913e-05
I25.8,IX,Кровообращение,1,17233,5.802820170602913e-05
I63.4,IX,Кровообращение,1,17233,5.802820170602913e-05
Южно-Сахалинск г,V,Психические расстройства,133,405,0.32839506172839505
Невельский р-н,V,Психические расстройства,51,405,0.1259259259259259
Холмский р-н,V,Психические расстройства,47,405,0.11604938271604938
Корсаковский р-н,V,Психические расстройства,28,405,0.0691358024691358
Охинский р-н,V,Психические расстройства,24,405,0.05925925925925926
Александровск-Сахалинский р-н,V,Психические расстройства,17,405,0.04197530864197531
Томаринский р-н,V,Психические расстройства,17,405,0.04197530864197531
Ногликский р-н,V,Психические расстройства,15,405,0.037037037037037035
Долинский р-н,V,Психические расстройства,14,405,0.0345679012345679
Углегорский р-н,V,Психические расстройства,11,405,0.027160493827160494
Смирныховский р-н,V,Психические расстройства,10,405,0.024691358024691357
Анивский р-н,V,Психические расстройства,8,405,0.019753086419753086
Макаровский р-н,V,Психические расстройства,8,405,0.019753086419753086
Поронайский р-н,V,Психические расстройства,8,405,0.019753086419753086
Северо-Курильский р-н,V,Психические расстройства,5,405,0.012345679012345678
Курильский р-н,V,Психические расстройства,4,405,0.009876543209876543
Тымовский р-н,V,Психические расстройства,3,405,0.007407407407407408
Муниципалитет не указан,V,Психические расстройства,1,405,0.0024691358024691358
Южно-Курильский р-н,V,Психические расстройства,1,405,0.0024691358024691358
Южно-Сахалинск г,VI,Нервная система,1556,5110,0.3045009784735812
Холмский р-н,VI,Нервная система,577,5110,0.11291585127201566
Углегорский р-н,VI,Нервная система,482,5110,0.09432485322896282
Поронайский р-н,VI,Нервная система,317,5110,0.06203522504892368
Долинский р-н,VI,Нервная система,297,5110,0.05812133072407045
Томаринский р-н,VI,Нервная система,242,5110,0.04735812133072407
Корсаковский р-н,VI,Нервная система,228,5110,0.04461839530332681
Охинский р-н,VI,Нервная система,216,5110,0.042270058708414875
Тымовский р-н,VI,Нервная система,197,5110,0.038551859099804305
Александровск-Сахалинский р-н,VI,Нервная система,169,5110,0.033072407045009786
Анивский р-н,VI,Нервная система,163,5110,0.03189823874755381
Невельский р-н,VI,Нервная система,152,5110,0.02974559686888454
Смирныховский р-н,VI,Нервная система,145,5110,0.02837573385518591
Ногликский р-н,VI,Нервная система,140,5110,0.0273972602739726
Макаровский р-н,VI,Нервная система,128,5110,0.025048923679060666
Муниципалитет не указан,VI,Нервная система,47,5110,0.009197651663405087
Южно-Курильский р-н,VI,Нервная система,30,5110,0.005870841487279843
Курильский р-н,VI,Нервная система,15,5110,0.0029354207436399216
Северо-Курильский р-н,VI,Нервная система,9,5110,0.0017612524461839531
Южно-Сахалинск г,VIII,Ухо,3,10,0.3
Корсаковский р-н,VIII,Ухо,2,10,0.2
Охинский р-н,VIII,Ухо,2,10,0.2
Невельский р-н,VIII,Ухо,1,10,0.1
Ногликский р-н,VIII,Ухо,1,10,0.1
Поронайский р-н,VIII,Ухо,1,10,0.1
Южно-Сахалинск г,X,Дыхание,1427,4215,0.3385527876631079
Холмский р-н,X,Дыхание,455,4215,0.10794780545670225
Корсаковский р-н,X,Дыхание,347,4215,0.0823250296559905
Углегорский р-н,X,Дыхание,289,4215,0.06856465005931198
Долинский р-н,X,Дыхание,241,4215,0.0571767497034401
Невельский р-н,X,Дыхание,184,4215,0.04365361803084223
Поронайский р-н,X,Дыхание,177,4215,0.04199288256227758
Охинский р-н,X,Дыхание,175,4215,0.04151838671411625
Александровск-Сахалинский р-н,X,Дыхание,167,4215,0.03962040332147094
Тымовский р-н,X,Дыхание,152,4215,0.03606168446026097
Анивский р-н,X,Дыхание,132,4215,0.03131672597864769
Смирныховский р-н,X,Дыхание,128,4215,0.03036773428232503
Томаринский р-н,X,Дыхание,106,4215,0.025148279952550416
Ногликский р-н,X,Дыхание,72,4215,0.01708185053380783
Макаровский р-н,X,Дыхание,60,4215,0.014234875444839857
Муниципалитет не указан,X,Дыхание,49,4215,0.01162514827995255
Южно-Курильский р-н,X,Дыхание,29,4215,0.006880189798339265
Курильский р-н,X,Дыхание,22,4215,0.005219454329774615
Северо-Курильский р-н,X,Дыхание,2,4215,0.00047449584816132857
J44.8,X,Дыхание,1,4215,0.00023724792408066428
Южно-Сахалинск г,XI,Пищеварение,1930,6883,0.2804009879413047
Холмский р-н,XI,Пищеварение,757,6883,0.10998111288682261
Корсаковский р-н,XI,Пищеварение,749,6883,0.108818828998983
Углегорский р-н,XI,Пищеварение,477,6883,0.06930117681243644
Долинский р-н,XI,Пищеварение,389,6883,0.05651605404620078
Поронайский р-н,XI,Пищеварение,387,6883,0.056225483074240884
Охинский р-н,XI,Пищеварение,346,6883,0.05026877814906291
Смирныховский р-н,XI,Пищеварение,281,6883,0.040825221560366116
Тымовский р-н,XI,Пищеварение,279,6883,0.04053465058840622
