year,listed_deaths,listed_with_settlement,listed_without_settlement,rosstat_deaths,difference_vs_rosstat,coverage_vs_rosstat
2016,6408,5866,542,6397.0,-11.0,1.0017195560418946
2017,5879,5408,471,5879.0,0.0,1.0
2018,6192,5680,512,6201.0,9.0,0.9985486211901307
2019,6042,5670,372,6126.0,84.0,0.9862879529872673
2020,6703,6517,186,6693.0,-10.0,1.001494098311669
2021,7435,7218,217,7587.0,152.0,0.9799657308554106
2022,6398,6324,74,6393.0,-5.0,1.0007821054278117
2023,6297,6187,110,6192.0,-105.0,1.0169573643410852
2024,6715,6584,131,6477.0,-238.0,1.036745406824147
2025,6608,6494,114,,,
