icd_class,icd_class_short,sex,deaths,total_deaths,share_within_class
I,Инфекционные болезни,жен,261,730,0.35753424657534244
I,Инфекционные болезни,муж,469,730,0.6424657534246575
II,Новообразования,жен,5104,11353,0.4495728001409319
II,Новообразования,муж,6249,11353,0.5504271998590681
III,Кровь и иммунитет,жен,43,71,0.6056338028169014
III,Кровь и иммунитет,муж,28,71,0.39436619718309857
IV,Эндокринные и обмен,жен,2145,3183,0.6738925541941565
IV,Эндокринные и обмен,муж,1038,3183,0.32610744580584355
IX,Кровообращение,жен,8106,17233,0.47037660302907214
IX,Кровообращение,муж,9127,17233,0.5296233969709279
V,Психические расстройства,жен,229,405,0.5654320987654321
V,Психические расстройства,муж,176,405,0.4345679012345679
VI,Нервная система,жен,3099,5110,0.6064579256360079
VI,Нервная система,муж,2011,5110,0.3935420743639922
VIII,Ухо,жен,4,10,0.4
VIII,Ухо,муж,6,10,0.6
X,Дыхание,жен,1593,4215,0.3779359430604982
X,Дыхание,муж,2622,4215,0.6220640569395017
XI,Пищеварение,жен,3205,6883,0.4656399825657417
XI,Пищеварение,муж,3678,6883,0.5343600174342583
XII,Кожа,жен,95,154,0.6168831168831169
XII,Кожа,муж,59,154,0.38311688311688313
XIII,Костно-мышечные,жен,180,277,0.6498194945848376
XIII,Костно-мышечные,муж,97,277,0.35018050541516244
XIV,Мочеполовая система,жен,1731,3063,0.56513222331048
XIV,Мочеполовая система,муж,1332,3063,0.4348677766895201
XIX,Травмы и отравления,жен,1662,9054,0.18356527501656728
XIX,Травмы и отравления,муж,7392,9054,0.8164347249834327
XV,Беременность и роды,жен,11,11,1.0
XVI,Перинатальные состояния,жен,86,170,0.5058823529411764
XVI,Перинатальные состояния,муж,84,170,0.49411764705882355
XVII,Врожденные аномалии,жен,45,100,0.45
XVII,Врожденные аномалии,муж,55,100,0.55
XVIII,Симптомы и неточные причины,жен,480,1852,0.2591792656587473
XVIII,Симптомы и неточные причины,муж,1371,1852,0.740280777537797
XVIII,Симптомы и неточные причины,не опр.,1,1852,0.0005399568034557236
XXII,Специальные коды,жен,466,803,0.5803237858032378
XXII,Специальные коды,муж,337,803,0.41967621419676215
