year,age_band,age_band_label,age_band_order,population,population_status,deaths,age_specific_rate_per100k,Алкогольная дегенерация нервной системы (G31.2),Алкогольная кардиомиопатия (I42.6),Алкогольная полинейропатия (G62.1),Острое токсическое действие алкоголя (T51),Психические и поведенческие расстройства вследствие алкоголя (F10)
2016,0,0,0,3049.0,точный знаменатель,0,0.0,0,0,0,0,0
2016,1_4,1-4,1,17327.0,точный знаменатель,0,0.0,0,0,0,0,0
2016,5_9,5-9,2,27122.0,точный знаменатель,0,0.0,0,0,0,0,0
2016,10_14,10-14,3,25343.0,точный знаменатель,0,0.0,0,0,0,0,0
2016,15_19,15-19,4,21584.0,точный знаменатель,1,4.633061527057079,0,0,0,1,0
2016,20_24,20-24,5,24298.0,точный знаменатель,2,8.23113013416742,0,0,0,2,0
2016,25_29,25-29,6,26307.0,точный знаменатель,5,19.006348120272172,0,0,0,5,0
2016,30_34,30-34,7,42138.0,точный знаменатель,12,28.477858465043433,0,2,0,10,0
2016,35_39,35-39,8,44700.0,точный знаменатель,18,40.26845637583892,0,5,0,13,0
2016,40_44,40-44,9,42017.0,точный знаменатель,18,42.83980293690649,0,6,0,12,0
2016,45_49,45-49,10,38157.0,точный знаменатель,12,31.449013287208114,0,4,0,8,0
2016,50_54,50-54,11,31276.0,точный знаменатель,22,70.3414758920578,0,9,0,12,1
2016,55_59,55-59,12,30205.0,точный знаменатель,18,59.59278265187883,1,5,0,12,0
2016,60_64,60-64,13,32889.0,точный знаменатель,14,42.56742375870352,0,4,0,10,0
2016,65_69,65-69,14,32091.0,точный знаменатель,8,24.929107849552835,0,4,0,4,0
2016,70_74,70-74,15,22630.0,точный знаменатель,8,35.351303579319485,0,5,0,3,0
2016,75_79,75-79,16,8645.0,точный знаменатель,2,23.13475997686524,0,1,0,1,0
2016,80_plus,80+,17,12414.0,точный знаменатель,3,24.16626389560174,0,1,0,2,0
2017,0,0,0,3049.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,1_4,1-4,1,17327.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,5_9,5-9,2,27122.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,10_14,10-14,3,25343.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,15_19,15-19,4,21584.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,20_24,20-24,5,24298.0,линейная интерполяция,0,0.0,0,0,0,0,0
2017,25_29,25-29,6,26307.0,линейная интерполяция,5,19.006348120272172,0,0,0,5,0
2017,30_34,30-34,7,42138.0,линейная интерполяция,9,21.358393848782573,0,1,0,7,1
2017,35_39,35-39,8,44700.0,линейная интерполяция,17,38.03131991051454,1,1,0,11,4
2017,40_44,40-44,9,42017.0,линейная интерполяция,24,57.11973724920865,3,2,0,16,3
2017,45_49,45-49,10,38157.0,линейная интерполяция,18,47.17351993081217,1,3,0,6,8
2017,50_54,50-54,11,31276.0,линейная интерполяция,24,76.73615551860851,1,3,0,13,7
2017,55_59,55-59,12,30205.0,линейная интерполяция,29,96.01059427247144,3,3,1,10,12
2017,60_64,60-64,13,32889.0,линейная интерполяция,33,100.33749885980114,4,3,0,11,15
2017,65_69,65-69,14,32091.0,линейная интерполяция,16,49.85821569910567,2,3,0,2,9
2017,70_74,70-74,15,22630.0,линейная интерполяция,3,13.25673884224481,0,0,0,1,2
2017,75_79,75-79,16,8645.0,линейная интерполяция,4,46.26951995373048,1,0,0,0,3
2017,80_plus,80+,17,12414.0,линейная интерполяция,2,16.110842597067826,1,0,0,1,0
2018,0,0,0,3049.0,линейная интерполяция,0,0.0,0,0,0,0,0
2018,1_4,1-4,1,17327.0,линейная интерполяция,0,0.0,0,0,0,0,0
2018,5_9,5-9,2,27122.0,линейная интерполяция,0,0.0,0,0,0,0,0
2018,10_14,10-14,3,25343.0,линейная интерполяция,0,0.0,0,0,0,0,0
2018,15_19,15-19,4,21584.0,линейная интерполяция,0,0.0,0,0,0,0,0
2018,20_24,20-24,5,24298.0,линейная интерполяция,2,8.23113013416742,0,0,0,1,1
2018,25_29,25-29,6,26307.0,линейная интерполяция,7,26.60888736838104,0,0,0,7,0
2018,30_34,30-34,7,42138.0,линейная интерполяция,3,7.119464616260858,0,0,0,3,0
2018,35_39,35-39,8,44700.0,линейная интерполяция,9,20.13422818791946,0,1,0,7,1
2018,40_44,40-44,9,42017.0,линейная интерполяция,13,30.939857676654686,1,1,0,10,1
2018,45_49,45-49,10,38157.0,линейная интерполяция,30,78.62253321802028,3,3,0,23,1
