Год,Всего записей,Острое токсическое действие алкоголя (T51),Алкогольная кардиомиопатия (I42.6),Алкогольная дегенерация нервной системы (G31.2),Психические и поведенческие расстройства вследствие алкоголя (F10),Алкогольная полинейропатия (G62.1)
2016,143,95,46,1,1,0
2017,184,83,19,17,64,1
2018,181,108,23,33,16,1
2019,179,114,23,37,5,0
2020,180,109,33,37,1,0
2021,157,95,29,33,0,0
2022,127,68,27,32,0,0
2023,156,99,34,23,0,0
2024,129,70,33,26,0,0
2025,128,64,23,41,0,0
2026,45,30,4,11,0,0
