Год,Алкогольная дегенерация нервной системы (G31.2),Алкогольная кардиомиопатия (I42.6),Алкогольная полинейропатия (G62.1),Острое токсическое действие алкоголя (T51),Психические и поведенческие расстройства вследствие алкоголя (F10)
2016,0.6993006993006993,32.16783216783217,0.0,66.43356643356644,0.6993006993006993
2017,9.239130434782608,10.326086956521738,0.5434782608695652,45.108695652173914,34.78260869565217
2018,18.23204419889503,12.70718232044199,0.5524861878453038,59.66850828729282,8.83977900552486
2019,20.670391061452513,12.849162011173185,0.0,63.687150837988824,2.793296089385475
2020,20.555555555555554,18.333333333333332,0.0,60.55555555555555,0.5555555555555556
2021,21.019108280254777,18.471337579617835,0.0,60.509554140127385,0.0
2022,25.196850393700785,21.25984251968504,0.0,53.54330708661418,0.0
2023,14.743589743589745,21.794871794871796,0.0,63.46153846153846,0.0
2024,20.155038759689923,25.581395348837212,0.0,54.263565891472865,0.0
2025,32.03125,17.96875,0.0,50.0,0.0
2026,24.444444444444443,8.88888888888889,0.0,66.66666666666666,0.0
