Позиция,Код,Расшифровка,Семейство,Смертей
Причина а,J81,Отек легкого,Отек легкого (J81),117
Причина а,G93.6,Отек мозга,Отек мозга (G93.6),64
Причина а,J18.2,Гипостатическая пневмония,Пневмонии (J18),20
Причина а,G93.5,Сдавление головного мозга,Сдавление мозга (G93.5),11
Причина а,R57.0,Кардиогенный шок,Шок (R57),11
Причина а,R65.3,Системная воспалительная реакция неинфекционного происхождения,Системная воспалительная реакция (R65),8
Причина а,I50.1,Левожелудочковая недостаточность,Сердечная недостаточность (I50),3
Причина а,I26.9,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),3
Причина а,I49.0,Фибрилляция и трепетание желудочков,Другие болезни системы кровообращения (I),3
Причина а,R65.1,Системная воспалительная реакция инфекционного происхождения,Системная воспалительная реакция (R65),3
Причина а,I50.0,Застойная сердечная недостаточность,Сердечная недостаточность (I50),2
Причина а,N18.5,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина а,K70.4,Алкогольная печеночная недостаточность,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина а,L89.9,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1
Причина а,L89.3,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1
Причина а,A41.9,МКБ-код без расшифровки в справочнике отчета,Другие коды A,1
Причина а,R64,МКБ-код без расшифровки в справочнике отчета,Симптомы и неточные причины (R),1
Причина а,A40.3,МКБ-код без расшифровки в справочнике отчета,Другие коды A,1
Причина а,I48.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина а,I50.9,МКБ-код без расшифровки в справочнике отчета,Сердечная недостаточность (I50),1
Причина а,I51.5,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина а,I26.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1
Причина а,T51,Токсическое действие алкоголя,Токсическое действие алкоголя (T51),1
Причина а,R57.8,Другие виды шока,Шок (R57),1
Причина а,N17.9,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1
Причина а,K72.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1
Причина б,Y15.0,"Y15, место 0",Внешняя причина отравления алкоголем (Y15),271
Причина б,Y15.9,"Y15, место не уточнено",Внешняя причина отравления алкоголем (Y15),30
Причина б,Y15.4,"Y15, место 4",Внешняя причина отравления алкоголем (Y15),17
Причина б,Y15.8,"Y15, место 8",Внешняя причина отравления алкоголем (Y15),5
Причина б,Y15.5,"Y15, место 5",Внешняя причина отравления алкоголем (Y15),5
Причина б,Y15.1,"Y15, место 1",Внешняя причина отравления алкоголем (Y15),2
Причина б,T51,Токсическое действие алкоголя,Токсическое действие алкоголя (T51),1
