Код,Расшифровка,Семейство,Смертей,Доля от всех строк
Y15.0,"Y15, место 0",Внешняя причина отравления алкоголем (Y15),709,44.06463642013673
J81,Отек легкого,Отек легкого (J81),117,7.271597265382225
Y15,"Отравление алкоголем / воздействие алкоголя, намерение не установлено",Внешняя причина отравления алкоголем (Y15),108,6.712243629583591
G93.6,Отек мозга,Отек мозга (G93.6),74,4.599129894344313
J18.2,Гипостатическая пневмония,Пневмонии (J18),59,3.6668738346799254
Y15.9,"Y15, место не уточнено",Внешняя причина отравления алкоголем (Y15),57,3.5425730267246736
I11.9,Гипертензивная болезнь сердца,Другие болезни системы кровообращения (I),35,2.175264139216905
F10.2,Алкогольная зависимость,Алкогольные психические/поведенческие расстройства (F10),33,2.050963331261653
Y15.4,"Y15, место 4",Внешняя причина отравления алкоголем (Y15),22,1.3673088875077688
Y15.8,"Y15, место 8",Внешняя причина отравления алкоголем (Y15),15,0.9322560596643878
J18.1,Долевая пневмония,Пневмонии (J18),12,0.7458048477315102
G93.5,Сдавление головного мозга,Сдавление мозга (G93.5),12,0.7458048477315102
K76.0,Жировая дегенерация печени,"Болезни печени, поджелудочной и пищеварения (K)",12,0.7458048477315102
R57.0,Кардиогенный шок,Шок (R57),11,0.6836544437538844
K86.1,Хронический панкреатит,"Болезни печени, поджелудочной и пищеварения (K)",10,0.6215040397762586
F10.1,Алкогольная зависимость,Алкогольные психические/поведенческие расстройства (F10),8,0.4972032318210068
Y15.2,"Y15, место 2",Внешняя причина отравления алкоголем (Y15),8,0.4972032318210068
R65.3,Системная воспалительная реакция неинфекционного происхождения,Системная воспалительная реакция (R65),8,0.4972032318210068
Y15.5,"Y15, место 5",Внешняя причина отравления алкоголем (Y15),7,0.435052827843381
I48.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),5,0.3107520198881293
G91.1,МКБ-код без расшифровки в справочнике отчета,Другие коды G,5,0.3107520198881293
J44.8,"ХОБЛ, другая уточненная",Другие болезни органов дыхания (J),4,0.2486016159105034
I42.6,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),4,0.2486016159105034
N11.8,Хронический тубулоинтерстициальный нефрит,Болезни мочеполовой системы (N),4,0.2486016159105034
K70.0,Алкогольная жировая болезнь печени,"Болезни печени, поджелудочной и пищеварения (K)",4,0.2486016159105034
I50.1,Левожелудочковая недостаточность,Сердечная недостаточность (I50),3,0.18645121193287756
G31.2,"Дегенерация нервной системы, вызванная алкоголем",Алкогольная дегенерация нервной системы (G31.2),3,0.18645121193287756
R65.1,Системная воспалительная реакция инфекционного происхождения,Системная воспалительная реакция (R65),3,0.18645121193287756
I49.0,Фибрилляция и трепетание желудочков,Другие болезни системы кровообращения (I),3,0.18645121193287756
K74.6,Цирроз печени неуточненный,"Болезни печени, поджелудочной и пищеварения (K)",3,0.18645121193287756
Y19.0,МКБ-код без расшифровки в справочнике отчета,Другие коды Y,3,0.18645121193287756
I26.9,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),3,0.18645121193287756
L89.3,МКБ-код без расшифровки в справочнике отчета,Другие коды L,2,0.1243008079552517
N18.5,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),2,0.1243008079552517
T51,Токсическое действие алкоголя,Токсическое действие алкоголя (T51),2,0.1243008079552517
I50.0,Застойная сердечная недостаточность,Сердечная недостаточность (I50),2,0.1243008079552517
I67.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),2,0.1243008079552517
I70.2,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),2,0.1243008079552517
F10.3,Алкогольное состояние абстиненции,Алкогольные психические/поведенческие расстройства (F10),2,0.1243008079552517
R40.2,Кома неуточненная,Симптомы и неточные причины (R),2,0.1243008079552517
J45.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни органов дыхания (J),2,0.1243008079552517
Y15.1,"Y15, место 1",Внешняя причина отравления алкоголем (Y15),2,0.1243008079552517
I47.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I44.1,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I25.5,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
G40.0,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1,0.06215040397762585
I25.8,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I26.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
B20.4,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
B18.2,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
A41.9,МКБ-код без расшифровки в справочнике отчета,Другие коды A,1,0.06215040397762585
B20.7,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
A40.3,МКБ-код без расшифровки в справочнике отчета,Другие коды A,1,0.06215040397762585
B23.2,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
G31.1,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1,0.06215040397762585
I11.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
G40.9,МКБ-код без расшифровки в справочнике отчета,Другие коды G,1,0.06215040397762585
B23.1,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
B20.9,МКБ-код без расшифровки в справочнике отчета,Другие коды B,1,0.06215040397762585
C32.0,МКБ-код без расшифровки в справочнике отчета,Другие коды C,1,0.06215040397762585
F10.0,Алкогольная интоксикация,Алкогольные психические/поведенческие расстройства (F10),1,0.06215040397762585
E11.7,МКБ-код без расшифровки в справочнике отчета,Другие коды E,1,0.06215040397762585
D35.0,МКБ-код без расшифровки в справочнике отчета,Другие коды D,1,0.06215040397762585
F10.201,Психические и поведенческие расстройства вследствие употребления алкоголя,Алкогольные психические/поведенческие расстройства (F10),1,0.06215040397762585
L89.2,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1,0.06215040397762585
K86.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K85.2,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K85.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K80.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K71.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K72.0,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K73.8,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K70.1,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K29.4,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K22.6,МКБ-код без расшифровки в справочнике отчета,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
K70.4,Алкогольная печеночная недостаточность,"Болезни печени, поджелудочной и пищеварения (K)",1,0.06215040397762585
I51.5,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I51.3,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I50.9,МКБ-код без расшифровки в справочнике отчета,Сердечная недостаточность (I50),1,0.06215040397762585
I51.7,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
I48.0,МКБ-код без расшифровки в справочнике отчета,Другие болезни системы кровообращения (I),1,0.06215040397762585
R64,МКБ-код без расшифровки в справочнике отчета,Симптомы и неточные причины (R),1,0.06215040397762585
N26,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
R57.8,Другие виды шока,Шок (R57),1,0.06215040397762585
N21.0,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
N20.0,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
N14.4,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
N17.9,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
L89.9,МКБ-код без расшифровки в справочнике отчета,Другие коды L,1,0.06215040397762585
N11.1,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
N10,МКБ-код без расшифровки в справочнике отчета,Болезни мочеполовой системы (N),1,0.06215040397762585
R00.8,МКБ-код без расшифровки в справочнике отчета,Симптомы и неточные причины (R),1,0.06215040397762585
X45.6,МКБ-код без расшифровки в справочнике отчета,Другие коды X,1,0.06215040397762585
X45,МКБ-код без расшифровки в справочнике отчета,Другие коды X,1,0.06215040397762585
Y15.7,"Y15, место 7",Внешняя причина отравления алкоголем (Y15),1,0.06215040397762585
Y19.9,МКБ-код без расшифровки в справочнике отчета,Другие коды Y,1,0.06215040397762585
