Позиция,Код,Расшифровка,Семейство,Смертей,Доля от всех,Доля среди заполненных
Причина а,T51.0,Токсическое действие этанола,Токсическое действие алкоголя (T51),250,15.537600994406464,41.946308724832214
Причина а,J81,Отек легкого,Отек легкого (J81),117,7.271597265382225,19.630872483221477
Причина а,G93.6,Отек мозга,Отек мозга (G93.6),64,3.9776258545680543,10.738255033557047
Причина а,T51.2,Токсическое действие 2-пропанола,Токсическое действие алкоголя (T51),57,3.5425730267246736,9.563758389261745
Причина а,J18.2,"Гипостатическая пневмония, возбудитель не уточнен",Пневмония (J18),20,1.2430080795525171,3.3557046979865772
Причина а,R57.0,Кардиогенный шок,Шок (R57),11,0.6836544437538844,1.8456375838926176
Причина а,G93.5,Сдавление головного мозга,Сдавление мозга (G93.5),11,0.6836544437538844,1.8456375838926176
Причина а,T51.1,Токсическое действие метанола,Токсическое действие алкоголя (T51),10,0.6215040397762586,1.6778523489932886
Причина а,R65.3,Синдром системной воспалительной реакции неинфекционного происхождения с органной недостаточностью,Системная воспалительная реакция (R65),8,0.4972032318210068,1.342281879194631
Причина а,I42.6,Алкогольная кардиомиопатия,Алкогольная кардиомиопатия (I42.6),6,0.3729024238657551,1.006711409395973
Причина а,T51.3,Токсическое действие сивушных масел,Токсическое действие алкоголя (T51),5,0.3107520198881293,0.8389261744966443
Причина а,T51.9,Токсическое действие спирта неуточненного,Токсическое действие алкоголя (T51),4,0.2486016159105034,0.6711409395973155
Причина а,I26.9,Легочная эмболия без уточнения,Другие болезни системы кровообращения (I),3,0.18645121193287756,0.5033557046979865
Причина а,I49.0,Фибрилляция и трепетание желудочков,Другие болезни системы кровообращения (I),3,0.18645121193287756,0.5033557046979865
Причина а,I50.1,Левожелудочковая недостаточность,Сердечная недостаточность (I50),3,0.18645121193287756,0.5033557046979865
Причина б,Y15.0,"Y15: отравление алкоголем, намерение не установлено, место 0","Внешняя причина: алкоголь, намерение не установлено (Y15)",271,16.842759477936607,80.8955223880597
Причина б,Y15.9,"Y15: отравление алкоголем, намерение не установлено, место не уточнено","Внешняя причина: алкоголь, намерение не установлено (Y15)",30,1.8645121193287757,8.955223880597014
