chain,deaths,group,median_age,share
— > — > T51.0 > Y15.0,377,Острое токсическое действие алкоголя (T51),51.0,23.43070229956495
T51.0 > Y15.0 > — > —,202,Острое токсическое действие алкоголя (T51),51.0,12.554381603480422
— > — > I42.6 > —,172,Алкогольная кардиомиопатия (I42.6),55.0,10.689869484151647
— > — > G31.2 > —,153,Алкогольная дегенерация нервной системы (G31.2),61.0,9.509011808576757
— > — > T51.0 > Y15,87,Острое токсическое действие алкоголя (T51),52.0,5.40708514605345
T51.2 > Y15.0 > — > —,50,Острое токсическое действие алкоголя (T51),46.5,3.107520198881293
J81 > — > — > —,48,Алкогольная кардиомиопатия (I42.6),49.0,2.983219390926041
— > — > F10.1 > —,47,Психические и поведенческие расстройства вследствие алкоголя (F10),59.0,2.9210689869484154
— > — > F10.2 > —,34,Психические и поведенческие расстройства вследствие алкоголя (F10),56.5,2.113113735239279
— > — > T51.2 > Y15.0,27,Острое токсическое действие алкоголя (T51),50.0,1.6780609073958979
T51.0 > Y15.9 > — > —,20,Острое токсическое действие алкоголя (T51),49.5,1.2430080795525171
G93.6 > — > — > —,18,Алкогольная кардиомиопатия (I42.6),54.0,1.1187072715972655
J81 > — > G31.2 > I11.9,15,Алкогольная дегенерация нервной системы (G31.2),64.0,0.9322560596643878
T51.0 > Y15.4 > — > —,15,Острое токсическое действие алкоголя (T51),57.0,0.9322560596643878
— > — > T51.0 > Y15.9,13,Острое токсическое действие алкоголя (T51),47.0,0.8079552517091362
— > — > T51.9 > Y15,11,Острое токсическое действие алкоголя (T51),39.0,0.6836544437538844
— > — > T51.3 > Y15.0,10,Острое токсическое действие алкоголя (T51),45.0,0.6215040397762586
G93.6 > — > — > I11.9,9,Алкогольная дегенерация нервной системы (G31.2),70.0,0.5593536357986327
— > — > T51.9 > Y15.0,9,Острое токсическое действие алкоголя (T51),58.0,0.5593536357986327
— > — > T51.1 > Y15.0,8,Острое токсическое действие алкоголя (T51),46.5,0.4972032318210068
— > — > T51.0 > Y15.8,8,Острое токсическое действие алкоголя (T51),58.5,0.4972032318210068
J18.2 > — > — > F10.2,8,Алкогольная дегенерация нервной системы (G31.2),55.5,0.4972032318210068
J81 > — > G31.2 > K86.1,7,Алкогольная дегенерация нервной системы (G31.2),58.0,0.435052827843381
R57.0 > — > — > —,7,Алкогольная кардиомиопатия (I42.6),49.0,0.435052827843381
G93.6 > — > — > F10.2,6,Алкогольная дегенерация нервной системы (G31.2),54.5,0.3729024238657551
I42.6 > — > — > —,6,Алкогольная кардиомиопатия (I42.6),55.0,0.3729024238657551
J81 > — > — > F10.2,5,Алкогольная кардиомиопатия (I42.6),40.0,0.3107520198881293
J18.2 > — > — > —,5,Алкогольная дегенерация нервной системы (G31.2),59.0,0.3107520198881293
— > — > T51.2 > Y15.9,5,Острое токсическое действие алкоголя (T51),45.0,0.3107520198881293
— > — > T51.0 > Y15.2,5,Острое токсическое действие алкоголя (T51),46.0,0.3107520198881293
T51.1 > Y15.0 > — > —,5,Острое токсическое действие алкоголя (T51),49.0,0.3107520198881293
— > — > T51.0 > Y15.4,5,Острое токсическое действие алкоголя (T51),47.0,0.3107520198881293
— > — > T51.8 > Y15.0,4,Острое токсическое действие алкоголя (T51),37.5,0.2486016159105034
T51.1 > Y15.9 > — > —,4,Острое токсическое действие алкоголя (T51),47.5,0.2486016159105034
R65.3 > — > G31.2 > F10.2,4,Алкогольная дегенерация нервной системы (G31.2),62.0,0.2486016159105034
T51.0 > Y15.8 > — > —,4,Острое токсическое действие алкоголя (T51),40.0,0.2486016159105034
T51.2 > Y15.9 > — > —,4,Острое токсическое действие алкоголя (T51),52.5,0.2486016159105034
T51.3 > Y15.0 > — > —,4,Острое токсическое действие алкоголя (T51),46.5,0.2486016159105034
G93.6 > — > — > K70.0,3,Алкогольная дегенерация нервной системы (G31.2),51.0,0.18645121193287756
G93.6 > — > — > I42.6,3,Алкогольная дегенерация нервной системы (G31.2),62.0,0.18645121193287756
— > — > T51.1 > Y15,3,Острое токсическое действие алкоголя (T51),49.0,0.18645121193287756
— > — > T51.1 > Y15.9,3,Острое токсическое действие алкоголя (T51),38.0,0.18645121193287756
— > — > T51 > Y15,3,Острое токсическое действие алкоголя (T51),39.0,0.18645121193287756
— > — > T51.0 > Y19.0,3,Острое токсическое действие алкоголя (T51),39.0,0.18645121193287756
G93.5 > — > G31.2 > I11.9,3,Алкогольная дегенерация нервной системы (G31.2),68.0,0.18645121193287756
G93.6 > — > G31.2 > F10.2,3,Алкогольная дегенерация нервной системы (G31.2),67.0,0.18645121193287756
J81 > — > G31.2 > K76.0,3,Алкогольная дегенерация нервной системы (G31.2),50.0,0.18645121193287756
J81 > — > G31.2 > N11.8,3,Алкогольная дегенерация нервной системы (G31.2),62.0,0.18645121193287756
J81 > — > — > I11.9,3,Алкогольная кардиомиопатия (I42.6),57.0,0.18645121193287756
J81 > — > — > K76.0,3,Алкогольная кардиомиопатия (I42.6),49.0,0.18645121193287756
I50.1 > — > — > —,3,Алкогольная кардиомиопатия (I42.6),54.0,0.18645121193287756
J81 > — > G31.2 > —,3,Алкогольная дегенерация нервной системы (G31.2),42.0,0.18645121193287756
T51.9 > Y15.0 > — > —,3,Острое токсическое действие алкоголя (T51),40.0,0.18645121193287756
T51.0 > Y15.5 > — > —,3,Острое токсическое действие алкоголя (T51),46.0,0.18645121193287756
— > — > T51.8 > Y15.9,3,Острое токсическое действие алкоголя (T51),48.0,0.18645121193287756
I26.9 > — > — > —,2,Алкогольная кардиомиопатия (I42.6),61.5,0.1243008079552517
J81 > — > — > F10.1,2,Алкогольная кардиомиопатия (I42.6),44.0,0.1243008079552517
G93.5 > — > G31.2 > —,2,Алкогольная дегенерация нервной системы (G31.2),49.5,0.1243008079552517
G93.6 > — > — > F10.3,2,Алкогольная дегенерация нервной системы (G31.2),53.0,0.1243008079552517
G93.6 > — > G31.2 > —,2,Алкогольная дегенерация нервной системы (G31.2),48.0,0.1243008079552517
G93.5 > — > G31.2 > K86.1,2,Алкогольная дегенерация нервной системы (G31.2),51.5,0.1243008079552517
J81 > — > I42.6 > I11.9,2,Алкогольная кардиомиопатия (I42.6),57.0,0.1243008079552517
— > — > G62.1 > —,2,Алкогольная полинейропатия (G62.1),64.5,0.1243008079552517
— > — > T51.0 > Y15.5,2,Острое токсическое действие алкоголя (T51),42.0,0.1243008079552517
— > — > T51.3 > Y15,2,Острое токсическое действие алкоголя (T51),43.5,0.1243008079552517
— > — > T51.3 > Y15.9,2,Острое токсическое действие алкоголя (T51),37.0,0.1243008079552517
— > — > T51.1 > Y15.2,2,Острое токсическое действие алкоголя (T51),35.5,0.1243008079552517
— > — > F10.3 > —,2,Психические и поведенческие расстройства вследствие алкоголя (F10),65.5,0.1243008079552517
T51.2 > Y15.4 > — > —,2,Острое токсическое действие алкоголя (T51),51.0,0.1243008079552517
T51.8 > Y15.0 > — > —,2,Острое токсическое действие алкоголя (T51),55.0,0.1243008079552517
T51.0 > Y15.1 > — > —,2,Острое токсическое действие алкоголя (T51),64.5,0.1243008079552517
R65.3 > — > — > F10.2,2,Алкогольная дегенерация нервной системы (G31.2),58.5,0.1243008079552517
J81 > — > — > G31.2,2,Алкогольная кардиомиопатия (I42.6),60.0,0.1243008079552517
I50.0 > — > I42.6 > K74.6,1,Алкогольная кардиомиопатия (I42.6),66.0,0.06215040397762585
G93.5 > — > G31.2 > J44.8,1,Алкогольная дегенерация нервной системы (G31.2),64.0,0.06215040397762585
G93.5 > — > — > —,1,Алкогольная кардиомиопатия (I42.6),47.0,0.06215040397762585
G93.6 > — > G31.2 > B18.2,1,Алкогольная дегенерация нервной системы (G31.2),52.0,0.06215040397762585
G93.6 > — > G31.2 > F10.201,1,Алкогольная дегенерация нервной системы (G31.2),84.0,0.06215040397762585
A41.9 > — > G31.2 > K86.1,1,Алкогольная дегенерация нервной системы (G31.2),44.0,0.06215040397762585
I49.0 > — > — > —,1,Алкогольная кардиомиопатия (I42.6),60.0,0.06215040397762585
I49.0 > — > — > I11.9,1,Алкогольная кардиомиопатия (I42.6),51.0,0.06215040397762585
I49.0 > — > — > F10.1,1,Алкогольная кардиомиопатия (I42.6),49.0,0.06215040397762585
I48.1 > — > — > —,1,Алкогольная кардиомиопатия (I42.6),68.0,0.06215040397762585
I26.9 > — > I42.6 > F10.1,1,Алкогольная кардиомиопатия (I42.6),40.0,0.06215040397762585
G93.6 > — > — > N14.4,1,Алкогольная дегенерация нервной системы (G31.2),60.0,0.06215040397762585
I26.0 > — > I42.6 > F10.1,1,Алкогольная кардиомиопатия (I42.6),61.0,0.06215040397762585
G93.6 > — > — > K29.4,1,Алкогольная дегенерация нервной системы (G31.2),69.0,0.06215040397762585
G93.6 > — > — > K73.8,1,Алкогольная дегенерация нервной системы (G31.2),32.0,0.06215040397762585
G93.6 > — > — > N11.1,1,Алкогольная дегенерация нервной системы (G31.2),66.0,0.06215040397762585
G93.6 > — > — > K76.0,1,Алкогольная дегенерация нервной системы (G31.2),37.0,0.06215040397762585
G93.6 > — > — > B23.1,1,Алкогольная дегенерация нервной системы (G31.2),65.0,0.06215040397762585
G93.6 > — > — > F10.1,1,Алкогольная дегенерация нервной системы (G31.2),57.0,0.06215040397762585
G93.6 > — > — > I70.2,1,Алкогольная дегенерация нервной системы (G31.2),62.0,0.06215040397762585
G93.6 > — > — > J45.8,1,Алкогольная дегенерация нервной системы (G31.2),54.0,0.06215040397762585
G93.6 > — > G31.2 > I11.0,1,Алкогольная дегенерация нервной системы (G31.2),61.0,0.06215040397762585
G93.6 > — > G31.2 > I67.8,1,Алкогольная дегенерация нервной системы (G31.2),63.0,0.06215040397762585
G93.6 > — > G31.2 > G40.9,1,Алкогольная дегенерация нервной системы (G31.2),57.0,0.06215040397762585
G93.6 > — > — > B20.9,1,Алкогольная дегенерация нервной системы (G31.2),65.0,0.06215040397762585
G93.6 > — > G31.2 > J44.8,1,Алкогольная дегенерация нервной системы (G31.2),70.0,0.06215040397762585
G93.6 > — > G31.2 > K76.0,1,Алкогольная дегенерация нервной системы (G31.2),48.0,0.06215040397762585
G93.6 > — > — > B20.7,1,Алкогольная дегенерация нервной системы (G31.2),44.0,0.06215040397762585
A40.3 > — > G31.2 > —,1,Алкогольная дегенерация нервной системы (G31.2),30.0,0.06215040397762585
G93.5 > — > G31.2 > G31.1,1,Алкогольная дегенерация нервной системы (G31.2),65.0,0.06215040397762585
G31.2 > — > G31.2 > —,1,Алкогольная дегенерация нервной системы (G31.2),52.0,0.06215040397762585
F10.1 > — > F10.1 > —,1,Психические и поведенческие расстройства вследствие алкоголя (F10),54.0,0.06215040397762585
G93.5 > — > G31.2 > K76.0,1,Алкогольная дегенерация нервной системы (G31.2),63.0,0.06215040397762585
J18.2 > — > — > J44.8,1,Алкогольная дегенерация нервной системы (G31.2),67.0,0.06215040397762585
