icd_class,block_code,block_description,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,iqr,small_n,class_order
I,A00-A09,Кишечные инфекции,48,60.5,40.0,71.75,52.479166666666664,0.0,95.0,31.75,False,1
I,A15-A19,Туберкулез,352,47.0,38.0,57.0,48.05965909090909,15.0,97.0,19.0,False,1
I,A30-A49,Другие бактериальные болезни,43,71.0,60.5,80.0,65.55813953488372,0.0,92.0,19.5,False,1
I,A50-A64,"Инфекции, передающиеся преимущественно половым путем",3,51.0,48.0,53.0,50.333333333333336,45.0,55.0,5.0,True,1
I,A80-A89,Вирусные инфекции центральной нервной системы,2,45.5,36.75,54.25,45.5,28.0,63.0,17.5,True,1
I,B00-B09,"Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек",1,33.0,33.0,33.0,33.0,33.0,33.0,0.0,True,1
I,B15-B19,Вирусный гепатит,93,53.0,45.0,65.0,55.473118279569896,29.0,88.0,20.0,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",177,40.0,36.0,47.0,42.16949152542373,21.0,77.0,11.0,False,1
I,B25-B34,Другие вирусные болезни,5,44.0,25.0,59.0,39.4,0.0,69.0,34.0,False,1
I,B35-B49,Микозы,2,64.5,57.25,71.75,64.5,50.0,79.0,14.5,True,1
I,B65-B83,Гельминтозы,1,69.0,69.0,69.0,69.0,69.0,69.0,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,3,54.0,42.5,61.0,51.0,31.0,68.0,18.5,True,1
II,C00-C14,"Губы, полости рта и глотки",452,63.0,55.0,68.0,61.876106194690266,35.0,100.0,13.0,False,2
II,C15-C26,Органов пищеварения,4248,68.0,61.0,75.0,67.57909604519774,27.0,98.0,14.0,False,2
II,C30-C39,Органов дыхания и грудной клетки,2585,66.0,61.0,72.0,66.07234042553192,17.0,105.0,11.0,False,2
II,C40-C41,Костей и суставных хрящей,32,63.0,45.25,69.25,58.3125,20.0,89.0,24.0,False,2
II,C43-C44,Кожи,195,67.0,59.0,75.0,66.41538461538461,28.0,96.0,16.0,False,2
II,C45-C49,Мезотелиальной и мягких тканей,142,69.0,60.0,75.0,66.69014084507042,9.0,93.0,15.0,False,2
II,C50-C50,Молочной железы,675,66.0,57.0,75.0,65.4074074074074,31.0,97.0,18.0,False,2
II,C51-C58,Женских половых органов,870,65.0,55.0,73.0,63.53908045977011,3.0,92.0,18.0,False,2
II,C60-C63,Мужских половых органов,418,71.0,66.0,77.0,70.77990430622009,24.0,94.0,11.0,False,2
II,C64-C68,Мочевых путей,615,68.0,61.0,75.0,67.90406504065041,30.0,95.0,14.0,False,2
II,C69-C72,"Глаза, головного мозга и других отделов центральной нервной системы",249,64.0,53.0,72.0,61.02008032128514,3.0,95.0,19.0,False,2
II,C73-C75,Щитовидной и других эндокринных желез,59,65.0,58.0,74.0,65.10169491525424,32.0,90.0,16.0,False,2
II,C76-C80,"Злокачественные новообразования других, неточно обозначенных и вторичных локализаций",61,63.0,57.0,71.0,63.32786885245902,15.0,85.0,14.0,False,2
II,C81-C96,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",430,67.0,58.0,74.0,65.02325581395348,10.0,93.0,16.0,False,2
II,C97-C97,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",110,71.0,65.0,77.0,69.86363636363636,27.0,90.0,12.0,False,2
II,D10-D36,Доброкачественные новообразования,87,69.0,61.5,75.5,68.41379310344827,39.0,93.0,14.0,False,2
II,D37-D48,Новообразования неопределенного или неизвестного характера,124,69.0,61.0,77.0,68.33870967741936,23.0,95.0,16.0,False,2
III,D50-D53,"Анемии, связанные с питанием",3,77.0,72.0,79.0,75.0,67.0,81.0,7.0,True,3
III,D55-D59,Гемолитические анемии,3,73.0,67.0,80.5,74.0,61.0,88.0,13.5,True,3
III,D60-D64,Апластические и другие анемии,22,71.0,63.5,78.75,68.5909090909091,15.0,93.0,15.25,False,3
III,D65-D69,Нарушения свёртывания крови,26,68.5,60.0,74.5,67.46153846153847,38.0,89.0,14.5,False,3
III,D70-D77,Другие болезни крови и кроветворных органов,12,69.5,66.25,73.75,68.83333333333333,35.0,92.0,7.5,False,3
III,D80-D89,Нарушения иммунного механизма,5,50.0,44.0,61.0,52.8,43.0,66.0,17.0,False,3
IV,E00-E07,Болезни щитовидной железы,13,65.0,56.0,72.0,63.15384615384615,43.0,78.0,16.0,False,4
IV,E10-E14,Сахарный диабет,3124,72.0,66.0,80.0,71.91741357234315,20.0,102.0,14.0,False,4
IV,E20-E35,Нарушения других эндокринных желез,2,75.5,70.25,80.75,75.5,65.0,86.0,10.5,True,4
IV,E40-E46,Недостаточность питания,6,72.0,67.75,74.75,71.66666666666667,65.0,79.0,7.0,False,4
IV,E50-E64,Другие виды недостаточности питания,5,69.0,69.0,71.0,67.8,56.0,74.0,2.0,False,4
IV,E65-E68,Ожирение и другие виды избыточности питания,19,64.0,58.5,67.5,60.73684210526316,27.0,74.0,9.0,False,4
IV,E70-E90,Нарушения обмена веществ,14,18.5,6.0,38.5,25.071428571428573,1.0,70.0,32.5,False,4
V,F00-F09,"Органические, включая симптоматические, психические расстройства",313,80.0,72.0,86.0,78.60383386581469,48.0,99.0,14.0,False,5
V,F10-F19,"Психические расстройства и расстройства поведения, связанные с употреблением психоактивных веществ",90,56.0,48.25,62.75,55.733333333333334,22.0,86.0,14.5,False,5
V,F20-F29,"Шизофрения, шизотипические и бредовые расстройства",1,73.0,73.0,73.0,73.0,73.0,73.0,0.0,True,5
V,F70-F79,Умственная отсталость,1,28.0,28.0,28.0,28.0,28.0,28.0,0.0,True,5
VI,G00-G09,Воспалительные болезни центральной нервной ситемы,83,61.0,42.0,69.5,56.24096385542169,1.0,92.0,27.5,False,6
VI,G10-G14,"Системные атрофии, поражающие преимущественно центральную нервную систему",61,61.0,54.0,66.0,56.78688524590164,1.0,77.0,12.0,False,6
VI,G20-G26,Экстрапирамидные и другие двигательные нарушения,180,74.0,69.0,82.0,74.34444444444445,18.0,97.0,13.0,False,6
VI,G30-G32,Другие дегенеративные болезни центральной нервной системы,3022,81.0,72.0,88.0,78.91661151555262,6.0,103.0,16.0,False,6
VI,G35-G37,Демиелинизирующие болезни центральной нервной системы,24,56.0,50.75,63.0,56.166666666666664,35.0,77.0,12.25,False,6
VI,G40-G47,Эпизодические и пароксизмальные расстройства,56,46.0,38.0,63.0,49.05357142857143,5.0,79.0,25.0,False,6
VI,G60-G64,Полиневропатии и другие поражения периферической нервной системы,5,59.0,59.0,70.0,63.2,47.0,81.0,11.0,False,6
VI,G70-G73,Болезни нервно-мышечного синапса и мышц,21,56.0,38.0,68.0,52.04761904761905,13.0,81.0,30.0,False,6
VI,G80-G83,Церебральный паралич и другие паралитические синдромы,19,22.0,14.0,30.0,23.473684210526315,5.0,52.0,16.0,False,6
VI,G90-G99,Другие нарушения нервной системы,1639,73.0,66.5,82.0,73.01037217815741,0.0,98.0,15.5,False,6
VIII,H60-H62,Болезни наружного уха,1,86.0,86.0,86.0,86.0,86.0,86.0,0.0,True,8
VIII,H65-H75,Болезни среднего уха и сосцевидного отростка,9,57.0,54.0,71.0,55.666666666666664,26.0,78.0,17.0,False,8
IX,I05-I09,Хронические ревматические болезни сердца,67,70.0,64.0,79.0,69.80597014925372,32.0,97.0,15.0,False,9
IX,I10-I15,"Болезни, характеризующиеся повышенным кровяным давлением",129,65.0,59.0,75.0,66.6046511627907,29.0,98.0,16.0,False,9
IX,I20-I25,Ишемическая болезнь сердца,6849,70.0,62.0,80.0,69.91604613812235,17.0,102.0,18.0,False,9
IX,I26-I28,Легочное сердце и нарушения легочного кровообращения,20,66.5,52.5,70.25,62.2,21.0,91.0,17.75,False,9
IX,I30-I52,Другие болезни сердца,2059,64.0,52.0,75.0,63.26323457989315,8.0,100.0,23.0,False,9
IX,I60-I69,Цереброваскулярные болезни,6022,71.0,62.0,81.0,70.64264363998672,15.0,105.0,19.0,False,9
IX,I70-I79,"Болезни артерий, артериол и капилляров",1044,72.0,66.0,82.0,72.59482758620689,27.0,100.0,16.0,False,9
IX,I80-I89,"Болезни вен, лимфатических сосудов и лимфатических узлов, не классифицированные в других рубриках",1043,70.0,62.0,80.0,70.02972195589645,19.0,97.0,18.0,False,9
X,J00-J06,Острые респираторные инфекции верхних дыхательных путей,5,59.0,53.0,68.0,60.6,45.0,78.0,15.0,False,10
X,J09-J18,Грипп и пневмония,2524,67.0,56.0,76.0,65.14263074484944,0.0,101.0,20.0,False,10
X,J30-J39,Другие болезни верхних дыхательных путей,11,63.0,46.5,71.0,60.72727272727273,37.0,81.0,24.5,False,10
X,J40-J47,Хронические болезни нижних дыхательных путей,1324,71.0,64.0,78.0,70.76510574018127,12.0,99.0,14.0,False,10
X,J60-J70,"Болезни легкого, вызванные внешними агентами",1,84.0,84.0,84.0,84.0,84.0,84.0,0.0,True,10
X,J80-J84,"Другие респираторные болезни, поражающие главным образом интерстициальную ткань",91,71.0,64.5,76.5,70.21978021978022,33.0,91.0,12.0,False,10
