icd_class,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,iqr,small_n,class_order,class_short
I,730,47.0,38.0,59.0,48.90547945205479,0.0,97.0,21.0,False,1,Инфекционные болезни
II,11352,67.0,60.0,74.0,66.4088266384778,3.0,105.0,14.0,False,2,Новообразования
III,71,69.0,62.0,77.0,67.6056338028169,15.0,93.0,15.0,False,3,Кровь и иммунитет
IV,3183,72.0,66.0,79.5,71.60414703110273,1.0,102.0,13.5,False,4,Эндокринные и обмен
V,405,76.0,64.0,84.0,73.38271604938272,22.0,99.0,20.0,False,5,Психические расстройства
VI,5110,78.0,68.0,86.0,75.46262230919766,0.0,103.0,18.0,False,6,Нервная система
VIII,10,57.5,54.5,73.25,58.7,26.0,86.0,18.75,False,8,Ухо
IX,17233,70.0,61.0,80.0,69.51006789299599,8.0,105.0,19.0,False,9,Кровообращение
X,4215,68.0,59.0,77.0,66.91838671411625,0.0,101.0,18.0,False,10,Дыхание
XI,6883,62.0,51.0,72.5,62.07642016562546,4.0,104.0,21.5,False,11,Пищеварение
XII,154,67.0,53.25,76.0,64.67532467532467,14.0,96.0,22.75,False,12,Кожа
XIII,277,68.0,60.0,75.0,66.68592057761732,24.0,97.0,15.0,False,13,Костно-мышечные
XIV,3063,76.0,68.0,84.0,75.23702252693438,0.0,103.0,16.0,False,14,Мочеполовая система
XV,11,31.0,29.0,35.0,29.636363636363637,0.0,40.0,6.0,False,15,Беременность и роды
XVI,170,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,16,Перинатальные состояния
XVII,100,24.0,0.0,53.25,28.76,0.0,91.0,53.25,False,17,Врожденные аномалии
XVIII,1843,59.0,47.0,69.0,58.06836679327184,0.0,105.0,22.0,False,18,Симптомы и неточные причины
XIX,9049,45.0,35.0,58.0,46.73179356835009,0.0,98.0,23.0,False,19,Травмы и отравления
XXII,803,72.0,65.0,81.0,71.8318804483188,16.0,99.0,16.0,False,22,Специальные коды
