icd_class,block_code,block_description,icd3,n,median_age,q1_age,q3_age,mean_age,min_age,max_age,description,iqr,small_n,class_order
I,A00-A09,Кишечные инфекции,A02,1,46.0,46.0,46.0,46.0,46.0,46.0,Сальмонеллезный энтерит,0.0,True,1
I,A00-A09,Кишечные инфекции,A04,29,68.0,48.0,74.0,60.206896551724135,0.0,95.0,"Энтероколит, вызванный Clostridium difficile",26.0,False,1
I,A00-A09,Кишечные инфекции,A05,1,40.0,40.0,40.0,40.0,40.0,40.0,Бактериальное пищевое отравление неуточненное,0.0,True,1
I,A00-A09,Кишечные инфекции,A08,2,26.5,14.75,38.25,26.5,3.0,50.0,Ротавирусный энтерит,23.5,True,1
I,A00-A09,Кишечные инфекции,A09,15,53.0,3.5,69.5,42.266666666666666,0.0,80.0,Другой и неуточненный гастроэнтерит и колит инфекционного происхождения,66.0,False,1
I,A15-A19,Туберкулез,A15,306,46.0,38.0,56.0,47.42483660130719,15.0,97.0,"Туберкулез легких, подтвержденный гистологически",18.0,False,1
I,A15-A19,Туберкулез,A16,38,50.5,43.25,59.0,51.28947368421053,33.0,86.0,Туберкулез легких без упоминания о бактериологическом или гистологическом подтверждении,15.75,False,1
I,A15-A19,Туберкулез,A18,1,59.0,59.0,59.0,59.0,59.0,59.0,Туберкулез других органов,0.0,True,1
I,A15-A19,Туберкулез,A19,7,53.0,42.0,71.0,56.714285714285715,32.0,86.0,Острый милиарный туберкулез одной уточненной локализации,29.0,False,1
I,A30-A49,Другие бактериальные болезни,A31,1,61.0,61.0,61.0,61.0,61.0,61.0,Инфекция вызванная Mycobacterium,0.0,True,1
I,A30-A49,Другие бактериальные болезни,A32,3,47.0,41.5,52.5,47.0,36.0,58.0,Листериозный менингит и менингоэнцефалит,11.0,True,1
I,A30-A49,Другие бактериальные болезни,A39,2,9.0,4.5,13.5,9.0,0.0,18.0,Острая менингококковая эндокардит,9.0,True,1
I,A30-A49,Другие бактериальные болезни,A46,31,75.0,70.5,82.0,73.70967741935483,31.0,92.0,Рожа,11.5,False,1
I,A30-A49,Другие бактериальные болезни,A48,4,57.0,33.75,69.25,46.0,0.0,70.0,Газовая гангрена,35.5,True,1
I,A30-A49,Другие бактериальные болезни,A49,2,65.0,64.0,66.0,65.0,63.0,67.0,Бактериальная инфекция неуточненная,2.0,True,1
I,A50-A64,"Инфекции, передающиеся преимущественно половым путем",A52,3,51.0,48.0,53.0,50.333333333333336,45.0,55.0,Нейросифилис с симптомами,5.0,True,1
I,A80-A89,Вирусные инфекции центральной нервной системы,A84,1,63.0,63.0,63.0,63.0,63.0,63.0,Энцефалит вызванный клещом,0.0,True,1
I,A80-A89,Вирусные инфекции центральной нервной системы,A86,1,28.0,28.0,28.0,28.0,28.0,28.0,Вирусный энцефалит неуточненный,0.0,True,1
I,B00-B09,"Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек",B00,1,33.0,33.0,33.0,33.0,33.0,33.0,Герпетическая энцефалит,0.0,True,1
I,B15-B19,Вирусный гепатит,B18,93,53.0,45.0,65.0,55.473118279569896,29.0,88.0,Хронический вирусный гепатит C,20.0,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B20,148,39.0,34.75,47.0,41.08783783783784,21.0,65.0,"Болезнь, вызванная ВИЧ, с проявлениями множественных инфекций",12.25,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B21,4,53.5,47.0,62.0,55.5,38.0,77.0,"Болезнь, вызванная ВИЧ, с проявлениями других злокачественных новообразований",15.0,True,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B22,16,45.5,41.75,53.75,49.1875,30.0,77.0,"Болезнь, вызванная ВИЧ, с проявлениями изнуряющего синдрома",12.0,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B23,6,42.0,38.5,46.25,43.833333333333336,31.0,63.0,"Болезнь, вызванная ВИЧ, с проявлениями (персистентной) генерализованной лимфаденопатии",7.75,False,1
I,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",B24,3,34.0,33.5,39.0,37.0,33.0,44.0,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ], неуточненная",5.5,True,1
I,B25-B34,Другие вирусные болезни,B27,2,64.0,61.5,66.5,64.0,59.0,69.0,Гамма-герпесвирусный мононуклеоз,5.0,True,1
I,B25-B34,Другие вирусные болезни,B34,3,25.0,12.5,34.5,23.0,0.0,44.0,Другие вирусные инфекции,22.0,True,1
I,B35-B49,Микозы,B44,2,64.5,57.25,71.75,64.5,50.0,79.0,Инвазивный аспергиллез,14.5,True,1
I,B65-B83,Гельминтозы,B83,1,69.0,69.0,69.0,69.0,69.0,69.0,Гельминтоз неуточненный,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,B90,1,54.0,54.0,54.0,54.0,54.0,54.0,Отдаленные последствия туберкулеза органов дыхания и неуточненного туберкулеза,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,B91,1,31.0,31.0,31.0,31.0,31.0,31.0,Последствия полиомиелита,0.0,True,1
I,B90-B94,Последствия инфестационных и паразитарных болезней,B94,1,68.0,68.0,68.0,68.0,68.0,68.0,Последствия вирусного энцефалита,0.0,True,1
II,C00-C14,"Губы, полости рта и глотки",C00,10,65.5,60.25,68.5,64.7,41.0,88.0,"Злокачественное новообразование губы, выходящее за пределы одной и более вышеуказанных локализаций",8.25,False,2
II,C00-C14,"Губы, полости рта и глотки",C01,22,65.5,58.5,68.75,64.0,41.0,77.0,Злокачественные новообразования основания языка,10.25,False,2
II,C00-C14,"Губы, полости рта и глотки",C02,62,61.0,53.5,68.0,60.67741935483871,40.0,85.0,"Злокачественное новообразование языка, выходящее за пределы одной и более вышеуказанных локализаций",14.5,False,2
II,C00-C14,"Губы, полости рта и глотки",C03,16,63.5,60.25,68.25,64.6875,46.0,88.0,Злокачественное новообразование десны нижней челюсти,8.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C04,68,59.0,54.0,67.0,60.9264705882353,44.0,91.0,"Злокачественное новообразование дна полости рта, выходящее за пределы одной и более вышеуказанных локализаций",13.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C05,16,59.5,55.75,66.75,61.3125,48.0,75.0,Злокачественное новообразование мягкого неба,11.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C06,10,65.0,57.75,68.0,62.7,45.0,78.0,Злокачественное новообразование слизистой оболочки щеки,10.25,False,2
II,C00-C14,"Губы, полости рта и глотки",C07,17,66.0,58.0,73.0,66.05882352941177,35.0,89.0,Злокачественное новообразование околоушной слюнной железы,15.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C08,13,68.0,66.0,73.0,67.61538461538461,46.0,86.0,"Злокачественное новообразование больших слюнных желез, выходящее за пределы одной и более вышеуказанных локализаций",7.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C09,11,65.0,52.0,70.0,61.63636363636363,43.0,77.0,"Злокачественное новообразование миндалины, выходящее за пределы одной и более вышеуказанных локализаций",18.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C10,106,63.0,58.0,68.0,62.405660377358494,38.0,100.0,"Злокачественное новообразование ротоглотки, выходящее за пределы одной и более вышеуказанных локализаций",10.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C11,7,50.0,49.5,52.0,50.142857142857146,40.0,58.0,"Злокачественное новообразование носоглотки, выходящее за пределы одной и более вышеуказанных локализаций",2.5,False,2
II,C00-C14,"Губы, полости рта и глотки",C12,4,70.5,59.25,76.25,65.0,42.0,77.0,Злокачественное новообразование грушевидного синуса,17.0,True,2
II,C00-C14,"Губы, полости рта и глотки",C13,73,62.0,55.0,68.0,61.21917808219178,40.0,77.0,"Злокачественное новообразование нижней части глотки, выходящее за пределы одной и более вышеуказанных локализаций",13.0,False,2
II,C00-C14,"Губы, полости рта и глотки",C14,17,54.0,49.0,68.0,58.23529411764706,46.0,75.0,"Злокачественное новообразование губы, полости рта и глотки, выходящее за пределы одной и более вышеуказанных локализаций",19.0,False,2
II,C15-C26,Органов пищеварения,C15,374,65.0,58.0,71.0,64.70855614973262,31.0,90.0,"Злокачественное новообразование пищевода, выходящее за пределы одной и более вышеуказанных локализаций",13.0,False,2
II,C15-C26,Органов пищеварения,C16,1083,68.0,61.0,75.0,67.61034164358264,30.0,98.0,"Злокачественное новообразование желудка, выходящее за пределы одной и более вышеуказанных локализаций",14.0,False,2
II,C15-C26,Органов пищеварения,C17,44,70.0,62.0,73.25,68.13636363636364,33.0,89.0,Злокачественное новообразование двенадцатиперстной кишки,11.25,False,2
II,C15-C26,Органов пищеварения,C18,816,71.0,64.0,78.0,70.34191176470588,28.0,92.0,Злокачественное новообразование сигмовидной кишки,14.0,False,2
II,C15-C26,Органов пищеварения,C19,120,69.0,65.0,77.0,70.15,37.0,97.0,Злокачественное новообразование ректосигмоидного соединения,12.0,False,2
II,C15-C26,Органов пищеварения,C20,327,69.0,62.0,76.0,68.29969418960245,29.0,94.0,Злокачественное новообразование прямой кишки,14.0,False,2
II,C15-C26,Органов пищеварения,C21,52,65.5,55.75,73.0,64.40384615384616,27.0,89.0,"Злокачественное новообразование прямой кишки, заднего прохода [ануса] и анального канала, выходящее за пределы вышеуказанных локализаций",17.25,False,2
II,C15-C26,Органов пищеварения,C22,552,66.0,57.0,73.0,65.35326086956522,33.0,95.0,Печеночноклеточный рак,16.0,False,2
