year,icd_class,deaths
2016,I,71
2016,II,1155
2016,III,2
2016,IV,85
2016,IX,2869
2016,V,15
2016,VI,65
2016,X,447
2016,XI,577
2016,XII,7
2016,XIII,10
2016,XIV,107
2016,XIX,787
2016,XV,2
2016,XVI,11
2016,XVII,18
2016,XVIII,180
2017,I,108
2017,II,1156
2017,III,9
2017,IV,244
2017,IX,1549
2017,V,152
2017,VI,597
2017,VIII,1
2017,X,231
2017,XI,637
2017,XII,14
2017,XIII,16
2017,XIV,177
2017,XIX,781
2017,XVI,16
2017,XVII,11
2017,XVIII,180
2018,I,75
2018,II,1185
2018,III,6
2018,IV,236
2018,IX,1827
2018,V,67
2018,VI,659
2018,VIII,1
2018,X,271
2018,XI,600
2018,XII,18
2018,XIII,34
2018,XIV,200
2018,XIX,829
2018,XV,2
2018,XVI,7
2018,XVII,6
2018,XVIII,169
2019,I,91
2019,II,1206
2019,III,12
2019,IV,343
2019,IX,1612
2019,V,80
2019,VI,361
2019,X,238
2019,XI,676
2019,XII,24
2019,XIII,45
2019,XIV,374
2019,XIX,783
2019,XV,3
2019,XVI,15
2019,XVII,9
2019,XVIII,170
2020,I,89
2020,II,1157
2020,III,17
2020,IV,446
2020,IX,1628
2020,V,80
2020,VI,623
2020,VIII,2
2020,X,395
2020,XI,829
2020,XII,24
2020,XIII,43
2020,XIV,344
2020,XIX,790
2020,XVI,11
2020,XVII,14
2020,XVIII,193
2020,XXII,18
2021,I,76
2021,II,1094
2021,III,4
2021,IV,408
2021,IX,1509
2021,V,9
2021,VI,676
2021,VIII,1
2021,X,886
2021,XI,842
2021,XII,19
2021,XIII,45
2021,XIV,377
2021,XIX,795
2021,XVI,10
2021,XVII,11
2021,XVIII,190
2021,XXII,483
2022,I,52
2022,II,1042
2022,III,4
2022,IV,368
2022,IX,1500
2022,V,1
2022,VI,634
2022,X,503
2022,XI,669
2022,XII,8
2022,XIII,24
2022,XIV,333
2022,XIX,752
2022,XVI,25
2022,XVII,7
2022,XVIII,183
2022,XXII,293
2023,I,60
2023,II,1138
2023,III,8
2023,IV,310
2023,IX,1587
2023,V,1
2023,VI,463
2023,VIII,2
2023,X,423
2023,XI,676
2023,XII,9
2023,XIII,22
2023,XIV,370
2023,XIX,1021
2023,XVI,18
2023,XVII,10
2023,XVIII,177
2023,XXII,2
2024,I,59
2024,II,1118
2024,III,8
2024,IV,405
2024,IX,1562
2024,VI,503
2024,VIII,1
2024,X,437
2024,XI,704
2024,XII,14
2024,XIII,15
2024,XIV,385
2024,XIX,1241
2024,XV,3
2024,XVI,31
2024,XVII,7
2024,XVIII,217
2024,XXII,5
2025,I,49
2025,II,1102
2025,III,1
2025,IV,338
2025,IX,1590
2025,VI,529
2025,VIII,2
2025,X,384
2025,XI,673
2025,XII,17
2025,XIII,23
2025,XIV,396
2025,XIX,1275
2025,XV,1
2025,XVI,26
2025,XVII,7
2025,XVIII,193
2025,XXII,2
