year,municipality_source,icd_class,deaths
2016,Александровск-Сахалинский р-н,I,1
2016,Александровск-Сахалинский р-н,II,42
2016,Александровск-Сахалинский р-н,IV,7
2016,Александровск-Сахалинский р-н,IX,101
2016,Александровск-Сахалинский р-н,V,5
2016,Александровск-Сахалинский р-н,VI,6
2016,Александровск-Сахалинский р-н,X,15
2016,Александровск-Сахалинский р-н,XI,16
2016,Александровск-Сахалинский р-н,XIV,8
2016,Александровск-Сахалинский р-н,XIX,40
2016,Александровск-Сахалинский р-н,XVII,1
2016,Александровск-Сахалинский р-н,XVIII,4
2016,Анивский р-н,I,1
2016,Анивский р-н,II,36
2016,Анивский р-н,IV,5
2016,Анивский р-н,IX,74
2016,Анивский р-н,VI,1
2016,Анивский р-н,X,14
2016,Анивский р-н,XI,18
2016,Анивский р-н,XIII,1
2016,Анивский р-н,XIV,2
2016,Анивский р-н,XIX,29
2016,Анивский р-н,XVIII,1
2016,Долинский р-н,I,4
2016,Долинский р-н,II,74
2016,Долинский р-н,III,1
2016,Долинский р-н,IV,5
2016,Долинский р-н,IX,214
2016,Долинский р-н,V,1
2016,Долинский р-н,VI,9
2016,Долинский р-н,X,11
2016,Долинский р-н,XI,38
2016,Долинский р-н,XIV,10
2016,Долинский р-н,XIX,47
2016,Долинский р-н,XVII,2
2016,Долинский р-н,XVIII,15
2016,Корсаковский р-н,I,3
2016,Корсаковский р-н,II,87
2016,Корсаковский р-н,IV,4
2016,Корсаковский р-н,IX,238
2016,Корсаковский р-н,VI,1
2016,Корсаковский р-н,X,48
2016,Корсаковский р-н,XI,56
2016,Корсаковский р-н,XII,2
2016,Корсаковский р-н,XIV,4
2016,Корсаковский р-н,XIX,55
2016,Корсаковский р-н,XVI,1
2016,Корсаковский р-н,XVIII,25
2016,Курильский р-н,II,6
2016,Курильский р-н,IV,1
2016,Курильский р-н,IX,20
2016,Курильский р-н,V,1
2016,Курильский р-н,VI,1
2016,Курильский р-н,XI,4
2016,Курильский р-н,XIX,7
2016,Макаровский р-н,I,2
2016,Макаровский р-н,II,24
2016,Макаровский р-н,IV,1
2016,Макаровский р-н,IX,67
2016,Макаровский р-н,V,1
2016,Макаровский р-н,X,6
2016,Макаровский р-н,XI,22
2016,Макаровский р-н,XIII,1
2016,Макаровский р-н,XIX,16
2016,Макаровский р-н,XVIII,1
2016,Невельский р-н,I,3
2016,Невельский р-н,II,37
2016,Невельский р-н,IV,4
2016,Невельский р-н,IX,120
2016,Невельский р-н,VI,2
