id,parent,type,code,label,short,group,order,range
root,,root,МКБ-10,Все причины смерти,Все причины,all,0,
c|I,root,class,I,Некоторые инфекционные и паразитарные болезни,Инфекционные болезни,cmnn,1,A00-B99
c|II,root,class,II,Новообразования,Новообразования,ncd,2,C00-D48
c|III,root,class,III,Болезни крови и иммунного механизма,Кровь и иммунитет,ncd,3,D50-D89
c|IV,root,class,IV,"Болезни эндокринной системы, расстройства питания и обмена веществ",Эндокринные и обмен,ncd,4,E00-E90
c|V,root,class,V,Психические расстройства и расстройства поведения,Психические расстройства,ncd,5,F00-F99
c|VI,root,class,VI,Болезни нервной системы,Нервная система,ncd,6,G00-G99
c|VII,root,class,VII,Болезни глаза и его придаточного аппарата,Глаз,ncd,7,H00-H59
c|VIII,root,class,VIII,Болезни уха и сосцевидного отростка,Ухо,ncd,8,H60-H95
c|IX,root,class,IX,Болезни системы кровообращения,Кровообращение,ncd,9,I00-I99
c|X,root,class,X,Болезни органов дыхания,Дыхание,ncd,10,J00-J99
c|XI,root,class,XI,Болезни органов пищеварения,Пищеварение,ncd,11,K00-K93
c|XII,root,class,XII,Болезни кожи и подкожной клетчатки,Кожа,ncd,12,L00-L99
c|XIII,root,class,XIII,Болезни костно-мышечной системы и соединительной ткани,Костно-мышечные,ncd,13,M00-M99
c|XIV,root,class,XIV,Болезни мочеполовой системы,Мочеполовая система,ncd,14,N00-N99
c|XV,root,class,XV,"Беременность, роды и послеродовой период",Беременность и роды,cmnn,15,O00-O99
c|XVI,root,class,XVI,"Отдельные состояния, возникающие в перинатальном периоде",Перинатальные состояния,cmnn,16,P00-P96
c|XVII,root,class,XVII,"Врожденные аномалии, деформации и хромосомные нарушения",Врожденные аномалии,ncd,17,Q00-Q99
c|XVIII,root,class,XVIII,"Симптомы, признаки и отклонения от нормы, не классифицированные в других рубриках",Симптомы и неточные причины,ncd,18,R00-R99
c|XIX,root,class,XIX,"Травмы, отравления и некоторые другие последствия воздействия внешних причин",Травмы и отравления,injury,19,S00-T98
c|XX,root,class,XX,Внешние причины заболеваемости и смертности,Внешние причины,injury,20,V01-Y98
c|XXI,root,class,XXI,"Факторы, влияющие на состояние здоровья и обращения в учреждения",Факторы обращения,ncd,21,Z00-Z99
c|XXII,root,class,XXII,Коды для специальных целей,Специальные коды,ncd,22,U00-U85
b|I|A00-A09,c|I,block,A00-A09,Кишечные инфекции,Кишечные инфекции,cmnn,1,
b|I|A15-A19,c|I,block,A15-A19,Туберкулез,Туберкулез,cmnn,2,
b|I|A30-A49,c|I,block,A30-A49,Другие бактериальные болезни,Другие бактериальные болезни,cmnn,3,
b|I|A50-A64,c|I,block,A50-A64,"Инфекции, передающиеся преимущественно половым путем","Инфекции, передающиеся преимущественно половым путем",cmnn,4,
b|I|A80-A89,c|I,block,A80-A89,Вирусные инфекции центральной нервной системы,Вирусные инфекции центральной нервной системы,cmnn,5,
b|I|B00-B09,c|I,block,B00-B09,"Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек","Вирусные инфекции, характеризующиеся поражениями кожи и слизистых оболочек",cmnn,6,
b|I|B15-B19,c|I,block,B15-B19,Вирусный гепатит,Вирусный гепатит,cmnn,7,
b|I|B20-B24,c|I,block,B20-B24,"Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]","Болезнь, вызванная вирусом иммунодефицита человека [ВИЧ]",cmnn,8,
b|I|B25-B34,c|I,block,B25-B34,Другие вирусные болезни,Другие вирусные болезни,cmnn,9,
b|I|B35-B49,c|I,block,B35-B49,Микозы,Микозы,cmnn,10,
b|I|B65-B83,c|I,block,B65-B83,Гельминтозы,Гельминтозы,cmnn,11,
b|I|B90-B94,c|I,block,B90-B94,Последствия инфестационных и паразитарных болезней,Последствия инфестационных и паразитарных болезней,cmnn,12,
b|II|C00-C14,c|II,block,C00-C14,"Губы, полости рта и глотки","Губы, полости рта и глотки",ncd,13,
b|II|C15-C26,c|II,block,C15-C26,Органов пищеварения,Органов пищеварения,ncd,14,
b|II|C30-C39,c|II,block,C30-C39,Органов дыхания и грудной клетки,Органов дыхания и грудной клетки,ncd,15,
b|II|C40-C41,c|II,block,C40-C41,Костей и суставных хрящей,Костей и суставных хрящей,ncd,16,
b|II|C43-C44,c|II,block,C43-C44,Кожи,Кожи,ncd,17,
b|II|C45-C49,c|II,block,C45-C49,Мезотелиальной и мягких тканей,Мезотелиальной и мягких тканей,ncd,18,
b|II|C50-C50,c|II,block,C50-C50,Молочной железы,Молочной железы,ncd,19,
b|II|C51-C58,c|II,block,C51-C58,Женских половых органов,Женских половых органов,ncd,20,
b|II|C60-C63,c|II,block,C60-C63,Мужских половых органов,Мужских половых органов,ncd,21,
b|II|C64-C68,c|II,block,C64-C68,Мочевых путей,Мочевых путей,ncd,22,
b|II|C69-C72,c|II,block,C69-C72,"Глаза, головного мозга и других отделов центральной нервной системы","Глаза, головного мозга и других отделов центральной нервной системы",ncd,23,
b|II|C73-C75,c|II,block,C73-C75,Щитовидной и других эндокринных желез,Щитовидной и других эндокринных желез,ncd,24,
b|II|C76-C80,c|II,block,C76-C80,"Злокачественные новообразования других, неточно обозначенных и вторичных локализаций","Злокачественные новообразования других, неточно обозначенных и вторичных локализаций",ncd,25,
b|II|C81-C96,c|II,block,C81-C96,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные","Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",ncd,26,
b|II|C97-C97,c|II,block,C97-C97,"Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные","Злокачественные новообразования лимфоидной, кроветворной и родственных им тканей, которые обозначены как первичные или предположительно первичные",ncd,27,
b|II|D10-D36,c|II,block,D10-D36,Доброкачественные новообразования,Доброкачественные новообразования,ncd,28,
b|II|D37-D48,c|II,block,D37-D48,Новообразования неопределенного или неизвестного характера,Новообразования неопределенного или неизвестного характера,ncd,29,
b|III|D50-D53,c|III,block,D50-D53,"Анемии, связанные с питанием","Анемии, связанные с питанием",ncd,30,
b|III|D55-D59,c|III,block,D55-D59,Гемолитические анемии,Гемолитические анемии,ncd,31,
b|III|D60-D64,c|III,block,D60-D64,Апластические и другие анемии,Апластические и другие анемии,ncd,32,
b|III|D65-D69,c|III,block,D65-D69,Нарушения свёртывания крови,Нарушения свёртывания крови,ncd,33,
b|III|D70-D77,c|III,block,D70-D77,Другие болезни крови и кроветворных органов,Другие болезни крови и кроветворных органов,ncd,34,
b|III|D80-D89,c|III,block,D80-D89,Нарушения иммунного механизма,Нарушения иммунного механизма,ncd,35,
b|IV|E00-E07,c|IV,block,E00-E07,Болезни щитовидной железы,Болезни щитовидной железы,ncd,36,
b|IV|E10-E14,c|IV,block,E10-E14,Сахарный диабет,Сахарный диабет,ncd,37,
b|IV|E20-E35,c|IV,block,E20-E35,Нарушения других эндокринных желез,Нарушения других эндокринных желез,ncd,38,
b|IV|E40-E46,c|IV,block,E40-E46,Недостаточность питания,Недостаточность питания,ncd,39,
b|IV|E50-E64,c|IV,block,E50-E64,Другие виды недостаточности питания,Другие виды недостаточности питания,ncd,40,
b|IV|E65-E68,c|IV,block,E65-E68,Ожирение и другие виды избыточности питания,Ожирение и другие виды избыточности питания,ncd,41,
b|IV|E70-E90,c|IV,block,E70-E90,Нарушения обмена веществ,Нарушения обмена веществ,ncd,42,
b|IX|I05-I09,c|IX,block,I05-I09,Хронические ревматические болезни сердца,Хронические ревматические болезни сердца,ncd,43,
b|IX|I10-I15,c|IX,block,I10-I15,"Болезни, характеризующиеся повышенным кровяным давлением","Болезни, характеризующиеся повышенным кровяным давлением",ncd,44,
b|IX|I20-I25,c|IX,block,I20-I25,Ишемическая болезнь сердца,Ишемическая болезнь сердца,ncd,45,
