settlement_idx,deaths,layer_id,settlement,municipality
0,1014,132546,Анива,Анивский городской округ
2,32,35467,Воскресенское,Анивский городской округ
3,15,86970,Высокое,Анивский городской округ
4,3,47235,Зеленодольск,Анивский городской округ
6,31,39076,Мицулевка,Анивский городской округ
7,161,111690,Ново-Троицкое,Анивский городской округ
8,60,1766,Огоньки,Анивский городской округ
9,57,59291,Петропавловское,Анивский городской округ
10,37,15035,Рыбацкое,Анивский городской округ
11,116,148656,Таранай,Анивский городской округ
12,480,84864,Троицкое,Анивский городской округ
13,21,10065,Успенское,Анивский городской округ
14,101,60167,Вал,Городской округ Ногликский
15,1,100383,Венское,Городской округ Ногликский
17,23,50326,Катангли,Городской округ Ногликский
20,755,24717,Ноглики,Городской округ Ногликский
21,78,113170,Ныш,Городской округ Ногликский
25,4,68413,Береговое,Корсаковский городской округ
26,8,25842,Вторая Падь,Корсаковский городской округ
27,56,136447,Дачное,Корсаковский городской округ
28,4440,18817,Корсаков,Корсаковский городской округ
29,22,35476,Лесное,Корсаковский городской округ
30,1,52380,Муравьево,Корсаковский городской округ
31,89,150517,Новиково,Корсаковский городской округ
32,210,135612,Озерское,Корсаковский городской округ
33,56,101586,Охотское,Корсаковский городской округ
34,23,16872,Первая Падь,Корсаковский городской округ
35,14,53512,Пихтовое,Корсаковский городской округ
36,134,35583,Соловьевка,Корсаковский городской округ
37,5,57089,Тамбовское,Корсаковский городской округ
38,52,83375,Третья Падь,Корсаковский городской округ
40,98,113763,Чапаево,Корсаковский городской округ
41,3,155406,Буревестник,Курильский городской округ
42,31,51828,Китовое,Курильский городской округ
43,196,15102,Курильск,Курильский городской округ
44,89,52825,Рейдово,Курильский городской округ
47,1,106238,Заозерное,Макаровский городской округ
48,1135,90786,Макаров,Макаровский городской округ
49,4,106384,Пугачево,Макаровский городской округ
50,5,50410,Тихое,Макаровский городской округ
51,3,103675,Туманово,Макаровский городской округ
53,2,3180,Амурское,Невельский городской округ
54,6,39341,Ватутино,Невельский городской округ
55,744,152565,Горнозаводск,Невельский городской округ
56,44,65250,Колхозное,Невельский городской округ
57,1671,96856,Невельск,Невельский городской округ
59,2,39410,Селезнево,Невельский городской округ
60,116,14945,Шебунино,Невельский городской округ
61,12,92104,Ясноморское,Невельский городской округ
62,345,21216,Вахрушев,Поронайский городской округ
63,328,78210,Восток,Поронайский городской округ
64,109,149562,Гастелло,Поронайский городской округ
65,24,51328,Забайкалец,Поронайский городской округ
66,184,83144,Леонидово,Поронайский городской округ
67,4,111328,Лермонтовка,Поронайский городской округ
68,11,149462,Майское,Поронайский городской округ
69,22,154776,Матросово,Поронайский городской округ
70,2455,114961,Поронайск,Поронайский городской округ
71,1,85446,Соболиное,Поронайский городской округ
72,61,155737,Тихменево,Поронайский городской округ
73,1,102562,Трудовое,Поронайский городской округ
74,175,146026,Северо-Курильск,Северо-Курильский городской округ
75,5,29458,Айнское,Томаринский городской округ
76,6,115551,Белинское,Томаринский городской округ
77,14,40037,Заречное,Томаринский городской округ
78,133,139932,Ильинское,Томаринский городской округ
79,544,11372,Красногорск,Томаринский городской округ
80,1,130487,Неводское,Томаринский городской округ
81,4,91515,Новоселово,Томаринский городской округ
82,27,53467,Парусное,Томаринский городской округ
83,81,11691,Пензенское,Томаринский городской округ
85,865,39934,Томари,Томаринский городской округ
86,3,67418,Урожайное,Томаринский городской округ
87,40,140435,Черемшанка,Томаринский городской округ
88,74,113646,Адо-Тымово,Тымовский городской округ
89,155,57891,Арги-Паги,Тымовский городской округ
90,8,94636,Белое,Тымовский городской округ
91,16,64219,Белоречье,Тымовский городской округ
94,141,139019,Воскресеновка,Тымовский городской округ
95,72,60951,Восход,Тымовский городской округ
97,52,27446,Зональное,Тымовский городской округ
98,8,122533,Иркир,Тымовский городской округ
99,235,145939,Кировское,Тымовский городской округ
100,109,85651,Красная Тымь,Тымовский городской округ
102,95,109943,Молодежное,Тымовский городской округ
104,13,129908,Палево,Тымовский городской округ
105,18,26265,Подгорное,Тымовский городской округ
106,37,9730,Славы,Тымовский городской округ
107,737,108590,Тымовское,Тымовский городской округ
109,5,22020,Усково,Тымовский городской округ
110,29,22041,Чир-Унвд,Тымовский городской округ
111,149,28640,Ясное,Тымовский городской округ
113,167,34204,Бошняково,Углегорский городской округ
114,136,77809,Краснополье,Углегорский городской округ
115,64,34942,Лесогорское,Углегорский городской округ
116,14,57317,Медвежье,Углегорский городской округ
117,1,85007,Надеждино,Углегорский городской округ
118,42,21,Никольское,Углегорский городской округ
119,59,76432,Ольховка,Углегорский городской округ
120,14,100252,Ольшанка,Углегорский городской округ
122,2,35084,Прудное,Углегорский городской округ
123,15,90842,Тельновское,Углегорский городской округ
124,1921,141375,Углегорск,Углегорский городской округ
125,7,37059,Ударное,Углегорский городской округ
126,1395,136899,Шахтерск,Углегорский городской округ
127,3,7294,Бамбучек,Холмский городской округ
128,3,78390,Зырянское,Холмский городской округ
129,6,56489,Калинино,Холмский городской округ
131,159,111919,Костромское,Холмский городской округ
132,4,123039,Красноярское,Холмский городской округ
133,10,43213,Люблино,Холмский городской округ
134,1,61835,Николайчук,Холмский городской округ
135,14,30189,Новосибирское,Холмский городской округ
137,1,82992,Павино,Холмский городской округ
138,110,71102,Пионеры,Холмский городской округ
139,8,48506,Пожарское,Холмский городской округ
140,362,13237,Правда,Холмский городской округ
141,3,18709,Прибой,Холмский городской округ
142,60,141906,Пятиречье,Холмский городской округ
143,12,21231,Серные Источники,Холмский городской округ
145,4389,152413,Холмск,Холмский городской округ
146,113,34855,Чапланово,Холмский городской округ
147,697,45256,Чехов,Холмский городской округ
148,7,60813,Чистоводное,Холмский городской округ
149,311,147573,Яблочное,Холмский городской округ
151,13,5681,Головнино,Южно-Курильский городской округ
152,8,67960,Дубовое,Южно-Курильский городской округ
