year,sex,age_band,node_id,n,pgpzh75,premature,valid_age_n,age_sum
2016,F,0_4,d|C70,1,71.0,1,1,4.0
2016,F,0_4,d|E76,1,72.0,1,1,3.0
2016,F,0_4,d|P21,1,75.0,1,1,0.0
2016,F,0_4,d|P22,1,75.0,1,1,0.0
2016,F,0_4,d|P36,1,75.0,1,1,0.0
2016,F,0_4,d|P77,1,75.0,1,1,0.0
2016,F,0_4,d|Q00,1,75.0,1,1,0.0
2016,F,0_4,d|Q89,1,75.0,1,1,0.0
2016,F,0_4,d|R95,2,150.0,2,2,0.0
2016,F,0_4,d|S06,2,150.0,2,2,0.0
2016,F,0_4,d|T17,1,75.0,1,1,0.0
2016,F,15_49,d|A04,1,56.0,1,1,19.0
2016,F,15_49,d|A15,5,169.0,5,5,206.0
2016,F,15_49,d|A16,1,31.0,1,1,44.0
2016,F,15_49,d|A19,1,28.0,1,1,47.0
2016,F,15_49,d|B18,1,39.0,1,1,36.0
2016,F,15_49,d|B20,4,168.0,4,4,132.0
2016,F,15_49,d|C02,1,33.0,1,1,42.0
2016,F,15_49,d|C16,1,36.0,1,1,39.0
2016,F,15_49,d|C18,1,29.0,1,1,46.0
2016,F,15_49,d|C19,1,32.0,1,1,43.0
2016,F,15_49,d|C20,1,29.0,1,1,46.0
2016,F,15_49,d|C22,3,102.0,3,3,123.0
2016,F,15_49,d|C24,1,32.0,1,1,43.0
2016,F,15_49,d|C25,2,59.0,2,2,91.0
2016,F,15_49,d|C31,1,29.0,1,1,46.0
2016,F,15_49,d|C34,2,65.0,2,2,85.0
2016,F,15_49,d|C41,1,43.0,1,1,32.0
2016,F,15_49,d|C43,1,38.0,1,1,37.0
2016,F,15_49,d|C49,1,32.0,1,1,43.0
2016,F,15_49,d|C50,6,172.0,6,6,278.0
2016,F,15_49,d|C53,11,380.0,11,11,445.0
2016,F,15_49,d|C54,3,90.0,3,3,135.0
2016,F,15_49,d|C56,3,107.0,3,3,118.0
2016,F,15_49,d|C64,1,32.0,1,1,43.0
2016,F,15_49,d|C77,1,29.0,1,1,46.0
2016,F,15_49,d|C90,1,29.0,1,1,46.0
2016,F,15_49,d|E11,1,30.0,1,1,45.0
2016,F,15_49,d|I08,2,72.0,2,2,78.0
2016,F,15_49,d|I11,1,31.0,1,1,44.0
2016,F,15_49,d|I21,2,77.0,2,2,73.0
2016,F,15_49,d|I24,12,408.0,12,12,492.0
2016,F,15_49,d|I25,1,33.0,1,1,42.0
2016,F,15_49,d|I33,4,170.0,4,4,130.0
2016,F,15_49,d|I42,9,329.0,9,9,346.0
2016,F,15_49,d|I60,7,260.0,7,7,265.0
2016,F,15_49,d|I61,10,333.0,10,10,417.0
2016,F,15_49,d|I62,1,34.0,1,1,41.0
2016,F,15_49,d|I63,3,92.0,3,3,133.0
2016,F,15_49,d|I67,1,51.0,1,1,24.0
2016,F,15_49,d|I71,2,64.0,2,2,86.0
2016,F,15_49,d|I74,1,28.0,1,1,47.0
2016,F,15_49,d|I80,2,71.0,2,2,79.0
2016,F,15_49,d|J12,1,26.0,1,1,49.0
2016,F,15_49,d|J15,1,31.0,1,1,44.0
2016,F,15_49,d|J18,19,677.0,19,19,748.0
2016,F,15_49,d|J44,1,41.0,1,1,34.0
2016,F,15_49,d|K22,1,60.0,1,1,15.0
2016,F,15_49,d|K56,3,110.0,3,3,115.0
2016,F,15_49,d|K70,2,66.0,2,2,84.0
2016,F,15_49,d|K71,5,211.0,5,5,164.0
2016,F,15_49,d|K74,24,793.0,24,24,1007.0
